date,order_number,product_name,category,customer_type,quantity,unit_price,total_amount,payment_method
2022-04-22,ORD000028,Spark Plugs,Electrical system,Wholesale,37,38.21,1413.77,Credit card
2022-05-30,ORD000029,Spark Plugs,Electrical system,Wholesale,32,26.24,839.68,Transfer
2022-06-03,ORD000030,Spark Plugs,Electrical system,Wholesale,75,42.89,3216.75,Check
2022-07-06,ORD000031,Spark Plugs,Electrical system,Retail,28,34.01,952.28,Credit card
2022-08-27,ORD000032,Spark Plugs,Electrical system,Wholesale,41,27.22,1116.02,Check
2022-09-28,ORD000033,Spark Plugs,Electrical system,Retail,49,37.81,1852.69,Credit card
2022-10-02,ORD000034,Spark Plugs,Electrical system,Wholesale,42,36.51,1533.42,Credit card
2022-11-08,ORD000035,Spark Plugs,Electrical system,Retail,29,26.24,760.96,Cash
2022-12-06,ORD000036,Spark Plugs,Electrical system,Retail,26,34.93,908.18,Check
2023-01-10,ORD000037,Spark Plugs,Electrical system,Wholesale,58,29.48,1709.84,Transfer
2023-02-22,ORD000038,Spark Plugs,Electrical system,Retail,41,38.04,1559.64,Credit card
2023-03-25,ORD000039,Spark Plugs,Electrical system,Wholesale,46,33.43,1537.78,Credit card
2023-04-17,ORD000040,Spark Plugs,Electrical system,Wholesale,32,30.86,987.52,Check
2023-05-13,ORD000041,Spark Plugs,Electrical system,Wholesale,48,34.67,1664.16,Credit card
2023-06-24,ORD000042,Spark Plugs,Electrical system,Retail,43,31.48,1353.64,Credit card
2023-07-29,ORD000043,Spark Plugs,Electrical system,Retail,39,26.55,1035.45,Check
2023-08-28,ORD000044,Spark Plugs,Electrical system,Retail,17,39.84,677.28,Check
2023-09-30,ORD000045,Spark Plugs,Electrical system,Wholesale,48,43.3,2078.4,Cash
2023-10-16,ORD000046,Spark Plugs,Electrical system,Wholesale,41,40.9,1676.9,Cash
2023-11-26,ORD000047,Spark Plugs,Electrical system,Wholesale,22,30.33,667.26,Check
2023-12-08,ORD000048,Spark Plugs,Electrical system,Wholesale,33,42.97,1418.01,Check
2024-01-16,ORD000049,Spark Plugs,Electrical system,Retail,34,30.0,1020.0,Transfer
2024-02-21,ORD000050,Spark Plugs,Electrical system,Retail,24,38.65,927.6,Credit card
2024-03-01,ORD000051,Spark Plugs,Electrical system,Retail,45,29.91,1345.95,Transfer
2024-04-19,ORD000052,Spark Plugs,Electrical system,Wholesale,29,36.88,1069.52,Check
2024-05-01,ORD000053,Spark Plugs,Electrical system,Wholesale,39,26.91,1049.49,Transfer
2024-06-20,ORD000054,Spark Plugs,Electrical system,Wholesale,27,34.7,936.9,Transfer
2024-07-14,ORD000055,Spark Plugs,Electrical system,Wholesale,35,31.62,1106.7,Check
2024-08-04,ORD000056,Spark Plugs,Electrical system,Retail,22,39.45,867.9,Check
2024-09-01,ORD000057,Spark Plugs,Electrical system,Retail,30,31.95,958.5,Check
2024-10-31,ORD000058,Spark Plugs,Electrical system,Wholesale,55,38.06,2093.3,Check
2024-11-20,ORD000059,Spark Plugs,Electrical system,Retail,46,32.76,1506.96,Check
2024-12-17,ORD000060,Spark Plugs,Electrical system,Retail,33,28.77,949.41,Cash
2020-01-22,ORD000061,Brake Pads,Braking system,Wholesale,71,14.7,1043.7,Credit card
2020-02-13,ORD000062,Brake Pads,Braking system,Retail,50,26.52,1326.0,Check
2020-03-12,ORD000063,Brake Pads,Braking system,Retail,69,33.21,2291.49,Cash
2020-04-15,ORD000064,Brake Pads,Braking system,Wholesale,67,34.17,2289.39,Credit card
2020-05-24,ORD000065,Brake Pads,Braking system,Retail,63,33.23,2093.49,Transfer
2020-06-14,ORD000066,Brake Pads,Braking system,Retail,85,12.93,1099.05,Cash
2020-07-19,ORD000067,Brake Pads,Braking system,Wholesale,64,29.78,1905.92,Credit card
2020-08-10,ORD000068,Brake Pads,Braking system,Wholesale,61,21.12,1288.32,Transfer
2020-09-11,ORD000069,Brake Pads,Braking system,Retail,46,30.71,1412.66,Cash
2020-10-16,ORD000070,Brake Pads,Braking system,Wholesale,61,33.58,2048.38,Transfer
2020-11-02,ORD000071,Brake Pads,Braking system,Wholesale,65,31.34,2037.1,Credit card
2020-12-08,ORD000072,Brake Pads,Braking system,Wholesale,66,22.14,1461.24,Cash
2021-01-18,ORD000073,Brake Pads,Braking system,Retail,63,31.93,2011.59,Cash
2021-02-17,ORD000074,Brake Pads,Braking system,Retail,51,29.26,1492.26,Cash
2021-03-08,ORD000075,Brake Pads,Braking system,Retail,55,28.53,1569.15,Credit card
2021-04-25,ORD000076,Brake Pads,Braking system,Wholesale,76,32.9,2500.4,Cash
2021-05-25,ORD000077,Brake Pads,Braking system,Retail,59,19.25,1135.75,Transfer
2021-06-05,ORD000078,Brake Pads,Braking system,Wholesale,52,13.84,719.68,Cash
2021-07-02,ORD000079,Brake Pads,Braking system,Wholesale,43,13.78,592.54,Cash
2021-08-27,ORD000080,Brake Pads,Braking system,Wholesale,63,28.46,1792.98,Check
2021-09-19,ORD000081,Brake Pads,Braking system,Wholesale,56,33.33,1866.48,Check
2021-10-29,ORD000082,Brake Pads,Braking system,Retail,59,27.12,1600.08,Cash
2021-11-07,ORD000083,Brake Pads,Braking system,Retail,73,16.05,1171.65,Check
2021-12-17,ORD000084,Brake Pads,Braking system,Retail,54,29.64,1600.56,Check
2022-01-15,ORD000085,Brake Pads,Braking system,Retail,47,25.55,1200.85,Transfer
2022-02-04,ORD000086,Brake Pads,Braking system,Retail,63,28.4,1789.2,Check
2022-03-25,ORD000087,Brake Pads,Braking system,Wholesale,47,32.01,1504.47,Cash
2022-04-13,ORD000088,Brake Pads,Braking system,Wholesale,65,27.54,1790.1,Check
2022-05-30,ORD000089,Brake Pads,Braking system,Wholesale,72,25.47,1833.84,Cash
2022-06-11,ORD000090,Brake Pads,Braking system,Wholesale,51,16.11,821.61,Transfer
2022-07-15,ORD000091,Brake Pads,Braking system,Wholesale,83,22.92,1902.36,Cash
2022-08-21,ORD000092,Brake Pads,Braking system,Wholesale,58,33.86,1963.88,Cash
2022-09-12,ORD000093,Brake Pads,Braking system,Wholesale,69,26.32,1816.08,Credit card
2022-10-19,ORD000094,Brake Pads,Braking system,Wholesale,66,17.49,1154.34,Cash
2022-11-06,ORD000095,Brake Pads,Braking system,Retail,55,19.84,1091.2,Transfer
2022-12-12,ORD000096,Brake Pads,Braking system,Wholesale,65,32.48,2111.2,Credit card
2023-01-11,ORD000097,Brake Pads,Braking system,Retail,87,31.34,2726.58,Check
2023-02-04,ORD000098,Brake Pads,Braking system,Wholesale,58,30.64,1777.12,Cash
2023-03-26,ORD000099,Brake Pads,Braking system,Wholesale,67,14.85,994.95,Check
2023-04-08,ORD000100,Brake Pads,Braking system,Wholesale,63,32.1,2022.3,Cash
2023-05-25,ORD000101,Brake Pads,Braking system,Wholesale,76,31.25,2375.0,Transfer
2023-06-10,ORD000102,Brake Pads,Braking system,Wholesale,56,23.68,1326.08,Transfer
2023-07-11,ORD000103,Brake Pads,Braking system,Retail,57,26.02,1483.14,Cash
2023-08-01,ORD000104,Brake Pads,Braking system,Retail,74,33.26,2461.24,Transfer
2023-09-17,ORD000105,Brake Pads,Braking system,Retail,76,13.52,1027.52,Credit card
2023-10-19,ORD000106,Brake Pads,Braking system,Wholesale,49,26.41,1294.09,Transfer
2023-11-05,ORD000107,Brake Pads,Braking system,Retail,55,27.27,1499.85,Cash
2023-12-28,ORD000108,Brake Pads,Braking system,Wholesale,65,13.53,879.45,Transfer
2024-01-10,ORD000109,Brake Pads,Braking system,Retail,77,31.39,2417.03,Cash
2024-02-13,ORD000110,Brake Pads,Braking system,Retail,74,14.29,1057.46,Cash
2024-03-02,ORD000111,Brake Pads,Braking system,Wholesale,75,21.88,1641.0,Cash
2024-04-19,ORD000112,Brake Pads,Braking system,Retail,88,27.5,2420.0,Credit card
2024-05-22,ORD000113,Brake Pads,Braking system,Wholesale,52,34.4,1788.8,Cash
2024-06-03,ORD000114,Brake Pads,Braking system,Wholesale,45,17.95,807.75,Credit card
2024-07-27,ORD000115,Brake Pads,Braking system,Wholesale,68,15.18,1032.24,Transfer
2024-08-01,ORD000116,Brake Pads,Braking system,Retail,71,20.98,1489.58,Transfer
2024-09-30,ORD000117,Brake Pads,Braking system,Retail,61,30.18,1840.98,Check
2024-10-20,ORD000118,Brake Pads,Braking system,Wholesale,56,14.05,786.8,Credit card
2024-11-01,ORD000119,Brake Pads,Braking system,Wholesale,50,18.67,933.5,Cash
2024-12-15,ORD000120,Brake Pads,Braking system,Wholesale,76,21.52,1635.52,Credit card
2020-01-24,ORD000121,Oil Filter,Engine system,Wholesale,53,14.26,755.78,Check
2020-02-10,ORD000122,Oil Filter,Engine system,Retail,82,12.3,1008.6,Credit card
2020-03-09,ORD000123,Oil Filter,Engine system,Retail,85,8.6,731.0,Cash
2020-04-11,ORD000124,Oil Filter,Engine system,Wholesale,93,10.91,1014.63,Credit card
2020-05-08,ORD000125,Oil Filter,Engine system,Wholesale,72,18.66,1343.52,Cash
2020-06-18,ORD000126,Oil Filter,Engine system,Retail,62,15.7,973.4,Transfer
2020-07-11,ORD000127,Oil Filter,Engine system,Wholesale,76,17.93,1362.68,Credit card
2020-08-27,ORD000128,Oil Filter,Engine system,Retail,78,10.95,854.1,Check
2020-09-08,ORD000129,Oil Filter,Engine system,Retail,66,16.51,1089.66,Transfer
2020-10-15,ORD000130,Oil Filter,Engine system,Retail,77,9.11,701.47,Transfer
2020-11-27,ORD000131,Oil Filter,Engine system,Wholesale,58,11.58,671.64,Credit card
2020-12-28,ORD000132,Oil Filter,Engine system,Wholesale,66,8.34,550.44,Cash
2021-01-11,ORD000133,Oil Filter,Engine system,Wholesale,64,13.71,877.44,Check
2021-02-09,ORD000134,Oil Filter,Engine system,Wholesale,70,19.89,1392.3,Transfer
2021-03-10,ORD000135,Oil Filter,Engine system,Retail,91,14.54,1323.14,Transfer
2021-04-12,ORD000136,Oil Filter,Engine system,Retail,84,14.39,1208.76,Check
2021-05-03,ORD000137,Oil Filter,Engine system,Wholesale,82,18.78,1539.96,Cash
2021-06-07,ORD000138,Oil Filter,Engine system,Retail,72,12.55,903.6,Check
2021-07-22,ORD000139,Oil Filter,Engine system,Retail,97,13.77,1335.69,Credit card
2021-08-29,ORD000140,Oil Filter,Engine system,Retail,62,9.3,576.6,Transfer
2021-09-13,ORD000141,Oil Filter,Engine system,Retail,80,19.06,1524.8,Cash
2021-10-02,ORD000142,Oil Filter,Engine system,Retail,75,15.68,1176.0,Transfer
2021-11-30,ORD000143,Oil Filter,Engine system,Wholesale,79,9.51,751.29,Check
2021-12-26,ORD000144,Oil Filter,Engine system,Wholesale,69,15.32,1057.08,Transfer
2022-01-28,ORD000145,Oil Filter,Engine system,Retail,82,11.54,946.28,Check
2022-02-10,ORD000146,Oil Filter,Engine system,Wholesale,55,12.64,695.2,Cash
2022-03-06,ORD000147,Oil Filter,Engine system,Wholesale,87,12.21,1062.27,Check
2022-04-30,ORD000148,Oil Filter,Engine system,Wholesale,76,13.62,1035.12,Check
2022-05-23,ORD000149,Oil Filter,Engine system,Wholesale,73,8.72,636.56,Check
2022-06-19,ORD000150,Oil Filter,Engine system,Retail,52,10.05,522.6,Credit card
2022-07-01,ORD000151,Oil Filter,Engine system,Retail,63,11.57,728.91,Credit card
2022-08-16,ORD000152,Oil Filter,Engine system,Retail,68,11.34,771.12,Credit card
2022-09-28,ORD000153,Oil Filter,Engine system,Retail,59,12.65,746.35,Credit card
2022-10-29,ORD000154,Oil Filter,Engine system,Retail,65,15.4,1001.0,Check
2022-11-19,ORD000155,Oil Filter,Engine system,Wholesale,44,13.22,581.68,Credit card
2022-12-01,ORD000156,Oil Filter,Engine system,Wholesale,77,18.8,1447.6,Transfer
2023-01-23,ORD000157,Oil Filter,Engine system,Wholesale,62,17.72,1098.64,Credit card
2023-02-01,ORD000158,Oil Filter,Engine system,Wholesale,59,16.97,1001.23,Credit card
2023-03-23,ORD000159,Oil Filter,Engine system,Wholesale,69,8.63,595.47,Cash
2023-04-13,ORD000160,Oil Filter,Engine system,Retail,53,13.07,692.71,Credit card
2023-05-25,ORD000161,Oil Filter,Engine system,Retail,69,18.08,1247.52,Credit card
2023-06-24,ORD000162,Oil Filter,Engine system,Wholesale,74,19.7,1457.8,Cash
2023-07-05,ORD000163,Oil Filter,Engine system,Wholesale,101,11.19,1130.19,Cash
2023-08-17,ORD000164,Oil Filter,Engine system,Retail,82,9.1,746.2,Transfer
2023-09-07,ORD000165,Oil Filter,Engine system,Retail,78,18.2,1419.6,Cash
2023-10-01,ORD000166,Oil Filter,Engine system,Wholesale,93,12.24,1138.32,Credit card
2023-11-15,ORD000167,Oil Filter,Engine system,Wholesale,76,19.11,1452.36,Cash
2023-12-11,ORD000168,Oil Filter,Engine system,Wholesale,74,13.48,997.52,Check
2024-01-22,ORD000169,Oil Filter,Engine system,Retail,59,19.92,1175.28,Cash
2024-02-29,ORD000170,Oil Filter,Engine system,Retail,61,16.61,1013.21,Check
2024-03-04,ORD000171,Oil Filter,Engine system,Wholesale,60,11.79,707.4,Credit card
2024-04-13,ORD000172,Oil Filter,Engine system,Retail,79,15.35,1212.65,Cash
2024-05-03,ORD000173,Oil Filter,Engine system,Wholesale,70,18.49,1294.3,Credit card
2024-06-14,ORD000174,Oil Filter,Engine system,Retail,73,18.02,1315.46,Transfer
2024-07-19,ORD000175,Oil Filter,Engine system,Retail,40,8.94,357.6,Cash
2024-08-13,ORD000176,Oil Filter,Engine system,Wholesale,74,11.89,879.86,Cash
2024-09-29,ORD000177,Oil Filter,Engine system,Wholesale,71,19.65,1395.15,Cash
2024-10-20,ORD000178,Oil Filter,Engine system,Retail,80,17.64,1411.2,Transfer
2024-11-27,ORD000179,Oil Filter,Engine system,Wholesale,89,9.29,826.81,Transfer
2024-12-26,ORD000180,Oil Filter,Engine system,Retail,81,12.09,979.29,Cash
2020-01-24,ORD000181,Air Filter,Engine system,Wholesale,25,12.8,320.0,Check
2020-02-20,ORD000182,Air Filter,Engine system,Wholesale,31,20.48,634.88,Check
2020-03-04,ORD000183,Air Filter,Engine system,Wholesale,32,12.76,408.32,Transfer
2020-04-16,ORD000184,Air Filter,Engine system,Retail,33,11.06,364.98,Cash
2020-05-12,ORD000185,Air Filter,Engine system,Wholesale,36,18.93,681.48,Credit card
2020-06-10,ORD000186,Air Filter,Engine system,Wholesale,25,11.88,297.0,Cash
2020-07-17,ORD000187,Air Filter,Engine system,Retail,29,21.65,627.85,Transfer
2020-08-23,ORD000188,Air Filter,Engine system,Retail,39,21.14,824.46,Check
2020-09-19,ORD000189,Air Filter,Engine system,Wholesale,28,19.88,556.64,Credit card
2020-10-03,ORD000190,Air Filter,Engine system,Retail,36,16.23,584.28,Transfer
2020-11-11,ORD000191,Air Filter,Engine system,Wholesale,38,18.3,695.4,Cash
2020-12-13,ORD000192,Air Filter,Engine system,Retail,33,15.66,516.78,Credit card
2021-01-06,ORD000193,Air Filter,Engine system,Retail,38,17.64,670.32,Check
2021-02-23,ORD000194,Air Filter,Engine system,Retail,16,13.3,212.8,Transfer
2021-03-02,ORD000195,Air Filter,Engine system,Retail,40,11.98,479.2,Credit card
2021-04-19,ORD000196,Air Filter,Engine system,Retail,43,19.66,845.38,Check
2021-05-02,ORD000197,Air Filter,Engine system,Retail,40,20.49,819.6,Cash
2021-06-27,ORD000198,Air Filter,Engine system,Wholesale,40,21.89,875.6,Check
2021-07-10,ORD000199,Air Filter,Engine system,Retail,22,10.7,235.4,Transfer
2021-08-31,ORD000200,Air Filter,Engine system,Retail,27,19.84,535.68,Credit card
2021-09-13,ORD000201,Air Filter,Engine system,Retail,37,17.95,664.15,Transfer
2021-10-12,ORD000202,Air Filter,Engine system,Wholesale,33,15.42,508.86,Check
2021-11-05,ORD000203,Air Filter,Engine system,Retail,30,13.25,397.5,Cash
2021-12-28,ORD000204,Air Filter,Engine system,Retail,31,14.43,447.33,Check
2022-01-12,ORD000205,Air Filter,Engine system,Retail,33,18.22,601.26,Cash
2022-02-03,ORD000206,Air Filter,Engine system,Retail,43,17.05,733.15,Cash
2022-03-07,ORD000207,Air Filter,Engine system,Retail,21,19.96,419.16,Check
2022-04-11,ORD000208,Air Filter,Engine system,Retail,29,19.96,578.84,Credit card
2022-05-15,ORD000209,Air Filter,Engine system,Wholesale,51,20.33,1036.83,Cash
2022-06-01,ORD000210,Air Filter,Engine system,Wholesale,44,13.56,596.64,Cash
2022-07-25,ORD000211,Air Filter,Engine system,Retail,42,19.89,835.38,Transfer
2022-08-11,ORD000212,Air Filter,Engine system,Retail,18,16.86,303.48,Transfer
2022-09-30,ORD000213,Air Filter,Engine system,Retail,37,15.12,559.44,Cash
2022-10-05,ORD000214,Air Filter,Engine system,Retail,42,17.99,755.58,Credit card
2022-11-18,ORD000215,Air Filter,Engine system,Wholesale,23,21.06,484.38,Transfer
2022-12-01,ORD000216,Air Filter,Engine system,Wholesale,29,11.72,339.88,Credit card
2023-01-20,ORD000217,Air Filter,Engine system,Wholesale,36,21.52,774.72,Cash
2023-02-10,ORD000218,Air Filter,Engine system,Wholesale,34,14.35,487.9,Cash
2023-03-24,ORD000219,Air Filter,Engine system,Retail,23,16.58,381.34,Check
2023-04-22,ORD000220,Air Filter,Engine system,Wholesale,40,15.89,635.6,Credit card
2023-05-16,ORD000221,Air Filter,Engine system,Wholesale,33,11.2,369.6,Credit card
2023-06-01,ORD000222,Air Filter,Engine system,Retail,40,17.47,698.8,Cash
2023-07-19,ORD000223,Air Filter,Engine system,Retail,30,15.54,466.2,Transfer
2023-08-21,ORD000224,Air Filter,Engine system,Retail,30,19.86,595.8,Check
2023-09-23,ORD000225,Air Filter,Engine system,Wholesale,24,17.2,412.8,Transfer
2023-10-16,ORD000226,Air Filter,Engine system,Wholesale,32,17.98,575.36,Check
2023-11-29,ORD000227,Air Filter,Engine system,Wholesale,27,14.45,390.15,Cash
2023-12-25,ORD000228,Air Filter,Engine system,Retail,44,15.69,690.36,Transfer
2024-01-22,ORD000229,Air Filter,Engine system,Wholesale,30,13.81,414.3,Cash
2024-02-25,ORD000230,Air Filter,Engine system,Retail,42,20.61,865.62,Check
2024-03-05,ORD000231,Air Filter,Engine system,Retail,36,19.84,714.24,Credit card
2024-04-30,ORD000232,Air Filter,Engine system,Wholesale,2,11.99,23.98,Cash
2024-05-07,ORD000233,Air Filter,Engine system,Retail,30,13.12,393.6,Transfer
2024-06-04,ORD000234,Air Filter,Engine system,Wholesale,7,20.35,142.45,Transfer
2024-07-13,ORD000235,Air Filter,Engine system,Wholesale,32,12.25,392.0,Transfer
2024-08-18,ORD000236,Air Filter,Engine system,Wholesale,37,14.09,521.33,Credit card
2024-09-06,ORD000237,Air Filter,Engine system,Wholesale,31,13.36,414.16,Cash
2024-10-14,ORD000238,Air Filter,Engine system,Retail,40,17.79,711.6,Credit card
2024-11-17,ORD000239,Air Filter,Engine system,Wholesale,31,13.18,408.58,Credit card
2024-12-17,ORD000240,Air Filter,Engine system,Retail,26,20.28,527.28,Credit card
2020-01-13,ORD000241,Shock Absorbers,Suspension & traction,Retail,63,36.2,2280.6,Cash
2020-02-06,ORD000242,Shock Absorbers,Suspension & traction,Wholesale,81,64.02,5185.62,Cash
2020-03-09,ORD000243,Shock Absorbers,Suspension & traction,Retail,85,63.36,5385.6,Cash
2020-04-21,ORD000244,Shock Absorbers,Suspension & traction,Wholesale,63,31.17,1963.71,Credit card
2020-05-05,ORD000245,Shock Absorbers,Suspension & traction,Wholesale,79,35.51,2805.29,Credit card
2020-06-02,ORD000246,Shock Absorbers,Suspension & traction,Wholesale,86,67.9,5839.4,Transfer
2020-07-06,ORD000247,Shock Absorbers,Suspension & traction,Wholesale,67,65.83,4410.61,Transfer
2020-08-20,ORD000248,Shock Absorbers,Suspension & traction,Wholesale,79,64.36,5084.44,Cash
2020-09-05,ORD000249,Shock Absorbers,Suspension & traction,Retail,94,52.72,4955.68,Check
2020-10-08,ORD000250,Shock Absorbers,Suspension & traction,Wholesale,69,61.1,4215.9,Credit card
2020-11-23,ORD000251,Shock Absorbers,Suspension & traction,Wholesale,80,47.69,3815.2,Credit card
2020-12-24,ORD000252,Shock Absorbers,Suspension & traction,Wholesale,64,49.1,3142.4,Transfer
2021-01-25,ORD000253,Shock Absorbers,Suspension & traction,Wholesale,85,45.6,3876.0,Cash
2021-02-28,ORD000254,Shock Absorbers,Suspension & traction,Wholesale,88,36.23,3188.24,Credit card
2021-03-08,ORD000255,Shock Absorbers,Suspension & traction,Wholesale,66,58.6,3867.6,Cash
2021-04-04,ORD000256,Shock Absorbers,Suspension & traction,Wholesale,101,66.73,6739.73,Check
2021-05-17,ORD000257,Shock Absorbers,Suspension & traction,Retail,67,40.43,2708.81,Transfer
2021-06-05,ORD000258,Shock Absorbers,Suspension & traction,Wholesale,87,43.2,3758.4,Check
2021-07-31,ORD000259,Shock Absorbers,Suspension & traction,Wholesale,53,35.42,1877.26,Cash
2021-08-01,ORD000260,Shock Absorbers,Suspension & traction,Wholesale,68,57.01,3876.68,Cash
2021-09-08,ORD000261,Shock Absorbers,Suspension & traction,Wholesale,73,55.55,4055.15,Check
2021-10-01,ORD000262,Shock Absorbers,Suspension & traction,Retail,79,54.96,4341.84,Check
2021-11-15,ORD000263,Shock Absorbers,Suspension & traction,Retail,63,39.66,2498.58,Cash
2021-12-28,ORD000264,Shock Absorbers,Suspension & traction,Wholesale,73,66.29,4839.17,Credit card
2022-01-30,ORD000265,Shock Absorbers,Suspension & traction,Wholesale,92,30.71,2825.32,Cash
2022-02-25,ORD000266,Shock Absorbers,Suspension & traction,Retail,58,37.05,2148.9,Transfer
2022-03-25,ORD000267,Shock Absorbers,Suspension & traction,Wholesale,77,60.04,4623.08,Check
2022-04-24,ORD000268,Shock Absorbers,Suspension & traction,Wholesale,45,40.15,1806.75,Transfer
2022-05-14,ORD000269,Shock Absorbers,Suspension & traction,Wholesale,94,49.29,4633.26,Check
2022-06-14,ORD000270,Shock Absorbers,Suspension & traction,Retail,71,34.91,2478.61,Check
2022-07-10,ORD000271,Shock Absorbers,Suspension & traction,Retail,88,40.06,3525.28,Transfer
2022-08-13,ORD000272,Shock Absorbers,Suspension & traction,Retail,84,38.69,3249.96,Transfer
2022-09-27,ORD000273,Shock Absorbers,Suspension & traction,Wholesale,77,31.0,2387.0,Check
2022-10-17,ORD000274,Shock Absorbers,Suspension & traction,Retail,90,67.13,6041.7,Transfer
2022-11-03,ORD000275,Shock Absorbers,Suspension & traction,Retail,65,46.14,2999.1,Check
2022-12-05,ORD000276,Shock Absorbers,Suspension & traction,Wholesale,65,59.15,3844.75,Cash
2023-01-04,ORD000277,Shock Absorbers,Suspension & traction,Retail,77,41.69,3210.13,Cash
2023-02-17,ORD000278,Shock Absorbers,Suspension & traction,Retail,52,68.23,3547.96,Transfer
2023-03-29,ORD000279,Shock Absorbers,Suspension & traction,Wholesale,60,47.39,2843.4,Cash
2023-04-27,ORD000280,Shock Absorbers,Suspension & traction,Retail,95,65.29,6202.55,Cash
2023-05-06,ORD000281,Shock Absorbers,Suspension & traction,Retail,68,59.85,4069.8,Credit card
2023-06-13,ORD000282,Shock Absorbers,Suspension & traction,Wholesale,72,55.92,4026.24,Check
2023-07-08,ORD000283,Shock Absorbers,Suspension & traction,Wholesale,79,68.78,5433.62,Cash
2023-08-30,ORD000284,Shock Absorbers,Suspension & traction,Wholesale,56,32.37,1812.72,Credit card
2023-09-15,ORD000285,Shock Absorbers,Suspension & traction,Retail,77,64.6,4974.2,Check
2023-10-13,ORD000286,Shock Absorbers,Suspension & traction,Wholesale,68,59.9,4073.2,Cash
2023-11-22,ORD000287,Shock Absorbers,Suspension & traction,Wholesale,85,56.94,4839.9,Check
2023-12-25,ORD000288,Shock Absorbers,Suspension & traction,Retail,84,65.27,5482.68,Credit card
2024-01-23,ORD000289,Shock Absorbers,Suspension & traction,Wholesale,71,47.47,3370.37,Transfer
2024-02-28,ORD000290,Shock Absorbers,Suspension & traction,Retail,65,42.2,2743.0,Cash
2024-03-08,ORD000291,Shock Absorbers,Suspension & traction,Wholesale,65,40.03,2601.95,Transfer
2024-04-20,ORD000292,Shock Absorbers,Suspension & traction,Retail,72,53.37,3842.64,Credit card
2024-05-13,ORD000293,Shock Absorbers,Suspension & traction,Retail,55,30.87,1697.85,Cash
2024-06-21,ORD000294,Shock Absorbers,Suspension & traction,Retail,91,49.08,4466.28,Transfer
2024-07-03,ORD000295,Shock Absorbers,Suspension & traction,Wholesale,70,46.74,3271.8,Transfer
2024-08-10,ORD000296,Shock Absorbers,Suspension & traction,Retail,57,57.21,3260.97,Credit card
2024-09-25,ORD000297,Shock Absorbers,Suspension & traction,Retail,74,36.85,2726.9,Check
2024-10-30,ORD000298,Shock Absorbers,Suspension & traction,Retail,69,66.76,4606.44,Cash
2024-11-08,ORD000299,Shock Absorbers,Suspension & traction,Retail,72,61.07,4397.04,Check
2024-12-05,ORD000300,Shock Absorbers,Suspension & traction,Retail,72,56.6,4075.2,Credit card
2020-01-24,ORD000301,Brake Fluid,Braking system,Wholesale,22,10.67,234.74,Cash
2020-02-05,ORD000302,Brake Fluid,Braking system,Wholesale,36,9.77,351.72,Transfer
