customerName,otherExpenses,category,paymentMethod,status,totalAmount,notes,quantity,unitPrice,reportDate,productName,orderNumber
Wholesale Client,0.0,Electrical system,Cash,Completed,0.0,Automated migration,0,8728.6,2023-01-02,Alternator,ORD930064
Retail Client,0.0,Electrical system,Maya,Completed,0.0,Automated migration,0,8182.66,2023-01-02,Alternator,ORD930065
Retail Client,0.0,Electrical system,GCash,Completed,0.0,Automated migration,0,6254.17,2023-01-02,Battery,ORD930096
Wholesale Client,62.75,Braking system,Bank Transfer,Completed,1532.74,Automated migration,1,1532.74,2023-01-02,Brake Pads,ORD930114
Retail Client,0.0,Braking system,Maya,Completed,0.0,Automated migration,0,1567.89,2023-01-02,Brake Pads,ORD930115
Wholesale Client,0.0,Electrical system,Maya,Completed,0.0,Automated migration,0,25957.69,2023-01-02,ECU Module,ORD930235
Retail Client,18.83,Engine system,Cash,Completed,244.42,Automated migration,1,244.42,2023-01-02,Oil Filter,ORD930302
Wholesale Client,6.1,Engine system,GCash,Completed,156.46,Automated migration,1,156.46,2023-01-02,Oil Filter,ORD930303
Wholesale Client,10.03,Engine system,Cash,Completed,189.92,Automated migration,1,189.92,2023-01-02,Oil Filter,ORD930304
Retail Client,7.97,Engine system,Bank Transfer,Completed,222.71,Automated migration,1,222.71,2023-01-02,Oil Filter,ORD930305
Wholesale Client,186.55,Suspension & traction,GCash,Completed,3962.83,Automated migration,1,3962.83,2023-01-02,Shock Absorber,ORD930407
Retail Client,101.57,Suspension & traction,Check,Completed,2527.79,Automated migration,1,2527.79,2023-01-02,Shock Absorber,ORD930408
Retail Client,225.11,Suspension & traction,Check,Completed,2546.69,Automated migration,1,2546.69,2023-01-02,Shock Absorber,ORD930409
Wholesale Client,30.14,Engine system,Check,Completed,790.77,Automated migration,3,263.59,2023-01-03,Air Filter,ORD930007
Retail Client,27.6,Engine system,GCash,Completed,737.82,Automated migration,3,245.94,2023-01-03,Air Filter,ORD930008
Wholesale Client,12.42,Engine system,Bank Transfer,Completed,255.63,Automated migration,1,255.63,2023-01-03,Air Filter,ORD930009
Wholesale Client,0.0,Electrical system,Check,Completed,0.0,Automated migration,0,5384.07,2023-01-03,Battery,ORD930097
Retail Client,0.0,Electrical system,Check,Completed,0.0,Automated migration,0,4669.83,2023-01-03,Battery,ORD930098
Retail Client,0.0,Braking system,Cash,Completed,0.0,Automated migration,0,1350.65,2023-01-03,Brake Pads,ORD930116
Wholesale Client,0.0,Braking system,Cash,Completed,0.0,Automated migration,0,1335.92,2023-01-03,Brake Pads,ORD930117
Retail Client,83.09,Braking system,Bank Transfer,Completed,1310.19,Automated migration,1,1310.19,2023-01-03,Brake Pads,ORD930118
Wholesale Client,0.0,Engine system,Maya,Completed,0.0,Automated migration,0,198.01,2023-01-03,Oil Filter,ORD930306
Retail Client,7.1,Engine system,Maya,Completed,146.77,Automated migration,1,146.77,2023-01-03,Oil Filter,ORD930307
Wholesale Client,0.0,Engine system,Maya,Completed,0.0,Automated migration,0,167.29,2023-01-03,Oil Filter,ORD930308
Wholesale Client,10.58,Engine system,Check,Completed,239.66,Automated migration,1,239.66,2023-01-03,Oil Filter,ORD930309
Retail Client,13.66,Engine system,Bank Transfer,Completed,240.91,Automated migration,1,240.91,2023-01-03,Oil Filter,ORD930310
Wholesale Client,0.0,Suspension & traction,Cash,Completed,0.0,Automated migration,0,2488.29,2023-01-03,Shock Absorber,ORD930410
Retail Client,0.0,Drivetrain,Check,Completed,0.0,Automated migration,0,2522.38,2023-01-03,Wheel Bearing,ORD930500
Wholesale Client,0.0,Drivetrain,GCash,Completed,0.0,Automated migration,0,1707.52,2023-01-03,Wheel Bearing,ORD930501
Retail Client,120.58,Drivetrain,Maya,Completed,1766.35,Automated migration,1,1766.35,2023-01-03,Wheel Bearing,ORD930502
Wholesale Client,12.05,Engine system,GCash,Completed,251.91,Automated migration,1,251.91,2023-01-04,Air Filter,ORD930010
Retail Client,0.0,Electrical system,Check,Completed,0.0,Automated migration,0,6139.25,2023-01-04,Battery,ORD930099
Wholesale Client,0.0,Electrical system,Bank Transfer,Completed,0.0,Automated migration,0,4361.51,2023-01-04,Battery,ORD930100
Wholesale Client,0.0,Braking system,Bank Transfer,Completed,0.0,Automated migration,0,1558.96,2023-01-04,Brake Pads,ORD930119
Wholesale Client,106.0,Braking system,Maya,Completed,1181.03,Automated migration,1,1181.03,2023-01-04,Brake Pads,ORD930120
Wholesale Client,640.89,Exhaust system,Maya,Completed,17946.72,Automated migration,1,17946.72,2023-01-04,Catalytic Converter,ORD930205
Retail Client,1105.46,Exhaust system,Maya,Completed,20088.36,Automated migration,1,20088.36,2023-01-04,Catalytic Converter,ORD930206
Wholesale Client,0.0,Engine system,Cash,Completed,0.0,Automated migration,0,197.73,2023-01-04,Oil Filter,ORD930311
Retail Client,12.21,Engine system,Cash,Completed,253.18,Automated migration,1,253.18,2023-01-04,Oil Filter,ORD930312
Wholesale Client,0.0,Engine system,Bank Transfer,Completed,0.0,Automated migration,0,259.96,2023-01-04,Oil Filter,ORD930313
Retail Client,312.27,Suspension & traction,GCash,Completed,4017.94,Automated migration,1,4017.94,2023-01-04,Shock Absorber,ORD930411
Wholesale Client,268.33,Suspension & traction,Maya,Completed,3470.77,Automated migration,1,3470.77,2023-01-04,Shock Absorber,ORD930412
Retail Client,0.0,Electrical system,Cash,Completed,0.0,Automated migration,0,7296.81,2023-01-04,Starter Motor,ORD930479
Retail Client,223.21,Drivetrain,Maya,Completed,2550.78,Automated migration,1,2550.78,2023-01-04,Wheel Bearing,ORD930503
Wholesale Client,204.12,Drivetrain,Bank Transfer,Completed,2259.14,Automated migration,1,2259.14,2023-01-04,Wheel Bearing,ORD930504
Retail Client,0.0,Engine system,Cash,Completed,0.0,Automated migration,0,300.21,2023-01-05,Air Filter,ORD930011
Wholesale Client,0.0,Engine system,GCash,Completed,0.0,Automated migration,0,247.67,2023-01-05,Air Filter,ORD930012
Retail Client,26.07,Engine system,Check,Completed,330.38,Automated migration,1,330.38,2023-01-05,Air Filter,ORD930013
Wholesale Client,0.0,Electrical system,Check,Completed,0.0,Automated migration,0,4884.52,2023-01-05,Battery,ORD930101
Wholesale Client,52.83,Braking system,Cash,Completed,1217.41,Automated migration,1,1217.41,2023-01-05,Brake Pads,ORD930121
Retail Client,0.0,Electrical system,Bank Transfer,Completed,0.0,Automated migration,0,16786.8,2023-01-05,ECU Module,ORD930236
Retail Client,0.0,Electrical system,Cash,Completed,0.0,Automated migration,0,22648.45,2023-01-05,ECU Module,ORD930237
Wholesale Client,11.39,Engine system,Cash,Completed,157.39,Automated migration,1,157.39,2023-01-05,Oil Filter,ORD930314
Retail Client,7.67,Engine system,Cash,Completed,152.96,Automated migration,1,152.96,2023-01-05,Oil Filter,ORD930315
Retail Client,11.6,Engine system,Check,Completed,210.68,Automated migration,1,210.68,2023-01-05,Oil Filter,ORD930316
Wholesale Client,12.43,Engine system,Cash,Completed,223.78,Automated migration,1,223.78,2023-01-05,Oil Filter,ORD930317
Wholesale Client,0.0,Engine system,Maya,Completed,0.0,Automated migration,0,151.15,2023-01-05,Oil Filter,ORD930318
Retail Client,21.6,Engine system,Cash,Completed,253.77,Automated migration,1,253.77,2023-01-05,Oil Filter,ORD930319
Wholesale Client,189.54,Suspension & traction,GCash,Completed,3877.7,Automated migration,1,3877.7,2023-01-05,Shock Absorber,ORD930413
Retail Client,90.3,Suspension & traction,Cash,Completed,2461.52,Automated migration,1,2461.52,2023-01-05,Shock Absorber,ORD930414
Wholesale Client,195.81,Suspension & traction,GCash,Completed,2400.58,Automated migration,1,2400.58,2023-01-05,Shock Absorber,ORD930415
Wholesale Client,152.15,Suspension & traction,Maya,Completed,3848.35,Automated migration,1,3848.35,2023-01-05,Shock Absorber,ORD930416
Wholesale Client,365.27,Suspension & traction,Bank Transfer,Completed,3848.17,Automated migration,1,3848.17,2023-01-05,Shock Absorber,ORD930417
Wholesale Client,206.23,Suspension & traction,Maya,Completed,3507.99,Automated migration,1,3507.99,2023-01-05,Shock Absorber,ORD930418
Wholesale Client,0.0,Electrical system,Check,Completed,0.0,Automated migration,0,10836.16,2023-01-05,Starter Motor,ORD930480
Wholesale Client,0.0,Electrical system,Bank Transfer,Completed,0.0,Automated migration,0,9934.1,2023-01-05,Starter Motor,ORD930481
Wholesale Client,161.69,Drivetrain,Check,Completed,2290.78,Automated migration,1,2290.78,2023-01-05,Wheel Bearing,ORD930505
Retail Client,20.84,Engine system,Check,Completed,344.83,Automated migration,1,344.83,2023-01-06,Air Filter,ORD930014
Retail Client,20.53,Engine system,Bank Transfer,Completed,352.7,Automated migration,1,352.7,2023-01-06,Air Filter,ORD930015
Wholesale Client,0.0,Engine system,Maya,Completed,0.0,Automated migration,0,248.66,2023-01-06,Air Filter,ORD930016
Retail Client,0.0,Braking system,Maya,Completed,0.0,Automated migration,0,1508.35,2023-01-06,Brake Pads,ORD930122
Wholesale Client,0.0,Braking system,Maya,Completed,0.0,Automated migration,0,1464.52,2023-01-06,Brake Pads,ORD930123
Wholesale Client,0.0,Braking system,Check,Completed,0.0,Automated migration,0,1279.38,2023-01-06,Brake Pads,ORD930124
Wholesale Client,1707.74,Exhaust system,Cash,Completed,17999.88,Automated migration,1,17999.88,2023-01-06,Catalytic Converter,ORD930207
Wholesale Client,1330.3,Exhaust system,Check,Completed,14831.89,Automated migration,1,14831.89,2023-01-06,Catalytic Converter,ORD930208
Wholesale Client,0.0,Electrical system,Check,Completed,0.0,Automated migration,0,16936.95,2023-01-06,ECU Module,ORD930238
Wholesale Client,0.0,Electrical system,GCash,Completed,0.0,Automated migration,0,27993.6,2023-01-06,ECU Module,ORD930239
Wholesale Client,18.73,Engine system,Maya,Completed,198.12,Automated migration,1,198.12,2023-01-06,Oil Filter,ORD930320
Retail Client,0.0,Engine system,Bank Transfer,Completed,0.0,Automated migration,0,145.97,2023-01-06,Oil Filter,ORD930321
Wholesale Client,18.83,Engine system,Check,Completed,235.06,Automated migration,1,235.06,2023-01-06,Oil Filter,ORD930322
Wholesale Client,308.53,Suspension & traction,Bank Transfer,Completed,4104.38,Automated migration,1,4104.38,2023-01-06,Shock Absorber,ORD930419
Wholesale Client,0.0,Suspension & traction,Maya,Completed,0.0,Automated migration,0,2974.34,2023-01-06,Shock Absorber,ORD930420
Retail Client,169.19,Drivetrain,Maya,Completed,1950.35,Automated migration,1,1950.35,2023-01-06,Wheel Bearing,ORD930506
Wholesale Client,15.29,Engine system,Maya,Completed,320.08,Automated migration,1,320.08,2023-01-07,Air Filter,ORD930017
Wholesale Client,609.33,Electrical system,Check,Completed,7064.69,Automated migration,1,7064.69,2023-01-07,Alternator,ORD930066
Retail Client,0.0,Electrical system,Cash,Completed,0.0,Automated migration,0,5603.91,2023-01-07,Battery,ORD930102
Retail Client,0.0,Electrical system,Bank Transfer,Completed,0.0,Automated migration,0,7185.64,2023-01-07,Battery,ORD930103
Retail Client,0.0,Braking system,Check,Completed,0.0,Automated migration,0,1336.48,2023-01-07,Brake Pads,ORD930125
Retail Client,0.0,Electrical system,Check,Completed,0.0,Automated migration,0,16907.2,2023-01-07,ECU Module,ORD930240
Retail Client,0.0,Electrical system,Cash,Completed,0.0,Automated migration,0,15909.98,2023-01-07,ECU Module,ORD930241
Retail Client,209.26,Suspension & traction,Cash,Completed,3697.31,Automated migration,1,3697.31,2023-01-07,Shock Absorber,ORD930421
Wholesale Client,0.0,Electrical system,Bank Transfer,Completed,0.0,Automated migration,0,7211.74,2023-01-07,Starter Motor,ORD930482
Retail Client,0.0,Electrical system,Maya,Completed,0.0,Automated migration,0,9830.72,2023-01-07,Starter Motor,ORD930483
Retail Client,132.77,Drivetrain,GCash,Completed,1630.93,Automated migration,1,1630.93,2023-01-07,Wheel Bearing,ORD930507
Wholesale Client,0.0,Drivetrain,Bank Transfer,Completed,0.0,Automated migration,0,2733.0,2023-01-07,Wheel Bearing,ORD930508
Retail Client,182.36,Drivetrain,Cash,Completed,2416.25,Automated migration,1,2416.25,2023-01-07,Wheel Bearing,ORD930509
Retail Client,197.26,Drivetrain,Maya,Completed,2292.35,Automated migration,1,2292.35,2023-01-07,Wheel Bearing,ORD930510
Retail Client,15.2,Engine system,Check,Completed,350.09,Automated migration,1,350.09,2023-01-08,Air Filter,ORD930018
Retail Client,0.0,Engine system,Check,Completed,0.0,Automated migration,0,342.89,2023-01-08,Air Filter,ORD930019
Wholesale Client,749.29,Electrical system,Check,Completed,11442.82,Automated migration,1,11442.82,2023-01-08,Alternator,ORD930067
Wholesale Client,0.0,Braking system,Check,Completed,0.0,Automated migration,0,1237.46,2023-01-08,Brake Pads,ORD930126
Wholesale Client,0.0,Braking system,Bank Transfer,Completed,0.0,Automated migration,0,1346.77,2023-01-08,Brake Pads,ORD930127
Retail Client,890.15,Exhaust system,Maya,Completed,17063.88,Automated migration,1,17063.88,2023-01-08,Catalytic Converter,ORD930209
Wholesale Client,0.0,Electrical system,Check,Completed,0.0,Automated migration,0,27357.89,2023-01-08,ECU Module,ORD930242
Wholesale Client,6.97,Engine system,Bank Transfer,Completed,156.16,Automated migration,1,156.16,2023-01-08,Oil Filter,ORD930323
Retail Client,5.63,Engine system,GCash,Completed,149.64,Automated migration,1,149.64,2023-01-08,Oil Filter,ORD930324
Wholesale Client,0.0,Engine system,Check,Completed,0.0,Automated migration,0,151.77,2023-01-08,Oil Filter,ORD930325
Retail Client,0.0,Engine system,Check,Completed,0.0,Automated migration,0,181.02,2023-01-08,Oil Filter,ORD930326
Wholesale Client,14.01,Engine system,Bank Transfer,Completed,158.94,Automated migration,1,158.94,2023-01-08,Oil Filter,ORD930327
Wholesale Client,370.61,Suspension & traction,Cash,Completed,4181.89,Automated migration,1,4181.89,2023-01-08,Shock Absorber,ORD930422
Retail Client,213.9,Suspension & traction,Cash,Completed,2532.93,Automated migration,1,2532.93,2023-01-08,Shock Absorber,ORD930423
Wholesale Client,187.39,Suspension & traction,Cash,Completed,3869.79,Automated migration,1,3869.79,2023-01-08,Shock Absorber,ORD930424
Retail Client,233.57,Suspension & traction,GCash,Completed,3597.55,Automated migration,1,3597.55,2023-01-08,Shock Absorber,ORD930425
Retail Client,101.04,Suspension & traction,GCash,Completed,2664.47,Automated migration,1,2664.47,2023-01-08,Shock Absorber,ORD930426
Retail Client,201.24,Drivetrain,Cash,Completed,2699.75,Automated migration,1,2699.75,2023-01-08,Wheel Bearing,ORD930511
Wholesale Client,0.0,Electrical system,Maya,Completed,0.0,Automated migration,0,8326.93,2023-01-09,Alternator,ORD930068
Wholesale Client,1011.36,Electrical system,GCash,Completed,12446.92,Automated migration,1,12446.92,2023-01-09,Alternator,ORD930069
Wholesale Client,0.0,Electrical system,GCash,Completed,0.0,Automated migration,0,10154.62,2023-01-09,Alternator,ORD930070
Retail Client,0.0,Electrical system,Cash,Completed,0.0,Automated migration,0,5955.34,2023-01-09,Battery,ORD930104
Retail Client,89.65,Braking system,Check,Completed,976.91,Automated migration,1,976.91,2023-01-09,Brake Pads,ORD930128
Retail Client,0.0,Braking system,Check,Completed,0.0,Automated migration,0,1434.62,2023-01-09,Brake Pads,ORD930129
Wholesale Client,0.0,Braking system,GCash,Completed,0.0,Automated migration,0,1038.86,2023-01-09,Brake Pads,ORD930130
Wholesale Client,100.97,Braking system,GCash,Completed,1279.22,Automated migration,1,1279.22,2023-01-09,Brake Pads,ORD930131
Retail Client,0.0,Braking system,Bank Transfer,Completed,0.0,Automated migration,0,1326.25,2023-01-09,Brake Pads,ORD930132
Retail Client,2095.35,Exhaust system,Maya,Completed,23919.75,Automated migration,1,23919.75,2023-01-09,Catalytic Converter,ORD930210
Wholesale Client,0.0,Electrical system,Bank Transfer,Completed,0.0,Automated migration,0,25965.4,2023-01-09,ECU Module,ORD930243
Wholesale Client,17.1,Engine system,GCash,Completed,216.61,Automated migration,1,216.61,2023-01-09,Oil Filter,ORD930328
Retail Client,16.47,Engine system,Cash,Completed,223.7,Automated migration,1,223.7,2023-01-09,Oil Filter,ORD930329
Wholesale Client,11.7,Engine system,GCash,Completed,205.45,Automated migration,1,205.45,2023-01-09,Oil Filter,ORD930330
Wholesale Client,13.08,Engine system,GCash,Completed,146.35,Automated migration,1,146.35,2023-01-09,Oil Filter,ORD930331
Wholesale Client,109.09,Suspension & traction,Maya,Completed,2498.87,Automated migration,1,2498.87,2023-01-09,Shock Absorber,ORD930427
Wholesale Client,235.01,Suspension & traction,Check,Completed,2702.09,Automated migration,1,2702.09,2023-01-09,Shock Absorber,ORD930428
Wholesale Client,117.46,Engine system,Check,Completed,1681.45,Automated migration,5,336.29,2023-01-10,Air Filter,ORD930020
Wholesale Client,734.49,Electrical system,Maya,Completed,9894.67,Automated migration,1,9894.67,2023-01-10,Alternator,ORD930071
Retail Client,0.0,Braking system,Bank Transfer,Completed,0.0,Automated migration,0,1585.54,2023-01-10,Brake Pads,ORD930133
Wholesale Client,87.15,Braking system,Maya,Completed,1460.83,Automated migration,1,1460.83,2023-01-10,Brake Pads,ORD930134
Retail Client,7018.63,Exhaust system,Maya,Completed,97437.97,Automated migration,7,13919.71,2023-01-10,Catalytic Converter,ORD930211
Wholesale Client,1564.93,Exhaust system,GCash,Completed,23993.53,Automated migration,1,23993.53,2023-01-10,Catalytic Converter,ORD930212
Retail Client,0.0,Engine system,GCash,Completed,0.0,Automated migration,0,212.32,2023-01-10,Oil Filter,ORD930332
Retail Client,14.62,Engine system,Maya,Completed,232.58,Automated migration,1,232.58,2023-01-10,Oil Filter,ORD930333
Retail Client,0.0,Engine system,Cash,Completed,0.0,Automated migration,0,205.11,2023-01-10,Oil Filter,ORD930334
Retail Client,172.6,Suspension & traction,Check,Completed,3715.27,Automated migration,1,3715.27,2023-01-10,Shock Absorber,ORD930429
Retail Client,176.33,Suspension & traction,Maya,Completed,2695.96,Automated migration,1,2695.96,2023-01-10,Shock Absorber,ORD930430
Retail Client,131.19,Suspension & traction,Check,Completed,3016.0,Automated migration,1,3016.0,2023-01-10,Shock Absorber,ORD930431
Retail Client,0.0,Electrical system,GCash,Completed,0.0,Automated migration,0,8520.35,2023-01-10,Starter Motor,ORD930484
Retail Client,89.0,Drivetrain,GCash,Completed,2355.28,Automated migration,1,2355.28,2023-01-10,Wheel Bearing,ORD930512
Wholesale Client,126.09,Drivetrain,Cash,Completed,2030.12,Automated migration,1,2030.12,2023-01-10,Wheel Bearing,ORD930513
Wholesale Client,0.0,Drivetrain,Maya,Completed,0.0,Automated migration,0,2569.9,2023-01-10,Wheel Bearing,ORD930514
Retail Client,152.8,Drivetrain,Check,Completed,2081.24,Automated migration,1,2081.24,2023-01-10,Wheel Bearing,ORD930515
Wholesale Client,0.0,Engine system,Bank Transfer,Completed,0.0,Automated migration,0,273.45,2023-01-11,Air Filter,ORD930021
Wholesale Client,67.64,Engine system,GCash,Completed,1173.92,Automated migration,4,293.48,2023-01-11,Air Filter,ORD930022
Retail Client,661.61,Electrical system,Check,Completed,7618.36,Automated migration,1,7618.36,2023-01-11,Alternator,ORD930072
Retail Client,0.0,Braking system,Maya,Completed,0.0,Automated migration,0,1169.66,2023-01-11,Brake Pads,ORD930135
Retail Client,66.79,Braking system,Check,Completed,1029.23,Automated migration,1,1029.23,2023-01-11,Brake Pads,ORD930136
Retail Client,0.0,Braking system,Bank Transfer,Completed,0.0,Automated migration,0,1474.02,2023-01-11,Brake Pads,ORD930137
Retail Client,0.0,Braking system,Bank Transfer,Completed,0.0,Automated migration,0,1564.4,2023-01-11,Brake Pads,ORD930138
Wholesale Client,0.0,Electrical system,Maya,Completed,0.0,Automated migration,0,20871.54,2023-01-11,ECU Module,ORD930244
Retail Client,0.0,Electrical system,Maya,Completed,0.0,Automated migration,0,18105.72,2023-01-11,ECU Module,ORD930245
Wholesale Client,13.16,Engine system,GCash,Completed,143.94,Automated migration,1,143.94,2023-01-11,Oil Filter,ORD930335
Wholesale Client,18.1,Engine system,Bank Transfer,Completed,192.24,Automated migration,1,192.24,2023-01-11,Oil Filter,ORD930336
Wholesale Client,15.6,Engine system,Cash,Completed,204.24,Automated migration,1,204.24,2023-01-11,Oil Filter,ORD930337
Retail Client,9.83,Engine system,Bank Transfer,Completed,253.86,Automated migration,1,253.86,2023-01-11,Oil Filter,ORD930338
Wholesale Client,9.08,Engine system,Maya,Completed,153.4,Automated migration,1,153.4,2023-01-11,Oil Filter,ORD930339
Retail Client,225.08,Suspension & traction,Maya,Completed,3134.8,Automated migration,1,3134.8,2023-01-11,Shock Absorber,ORD930432
Wholesale Client,0.0,Suspension & traction,Bank Transfer,Completed,0.0,Automated migration,0,3147.91,2023-01-11,Shock Absorber,ORD930433
Wholesale Client,614.0,Suspension & traction,Bank Transfer,Completed,16627.05,Automated migration,5,3325.41,2023-01-11,Shock Absorber,ORD930434
Wholesale Client,157.37,Suspension & traction,Bank Transfer,Completed,2852.91,Automated migration,1,2852.91,2023-01-11,Shock Absorber,ORD930435
Wholesale Client,0.0,Drivetrain,Check,Completed,0.0,Automated migration,0,1995.37,2023-01-11,Wheel Bearing,ORD930516
Retail Client,106.12,Drivetrain,Maya,Completed,1719.03,Automated migration,1,1719.03,2023-01-11,Wheel Bearing,ORD930517
Wholesale Client,176.6,Drivetrain,GCash,Completed,2053.75,Automated migration,1,2053.75,2023-01-11,Wheel Bearing,ORD930518
Wholesale Client,23.67,Engine system,GCash,Completed,258.9,Automated migration,1,258.9,2023-01-12,Air Filter,ORD930023
Retail Client,666.2,Electrical system,Maya,Completed,12231.13,Automated migration,1,12231.13,2023-01-12,Alternator,ORD930073
Retail Client,556.08,Electrical system,Bank Transfer,Completed,9436.93,Automated migration,1,9436.93,2023-01-12,Alternator,ORD930074
Retail Client,0.0,Braking system,Maya,Completed,0.0,Automated migration,0,1136.21,2023-01-12,Brake Pads,ORD930139
Wholesale Client,0.0,Braking system,Maya,Completed,0.0,Automated migration,0,1248.99,2023-01-12,Brake Pads,ORD930140
Wholesale Client,5.79,Engine system,Cash,Completed,144.85,Automated migration,1,144.85,2023-01-12,Oil Filter,ORD930340
Wholesale Client,0.0,Engine system,Maya,Completed,0.0,Automated migration,0,186.91,2023-01-12,Oil Filter,ORD930341
Wholesale Client,7.55,Engine system,Maya,Completed,214.08,Automated migration,1,214.08,2023-01-12,Oil Filter,ORD930342
Wholesale Client,0.0,Engine system,Check,Completed,0.0,Automated migration,0,165.53,2023-01-12,Oil Filter,ORD930343
Retail Client,7.11,Engine system,Bank Transfer,Completed,154.23,Automated migration,1,154.23,2023-01-12,Oil Filter,ORD930344
Retail Client,143.94,Suspension & traction,Cash,Completed,2504.28,Automated migration,1,2504.28,2023-01-12,Shock Absorber,ORD930436
Retail Client,0.0,Suspension & traction,Cash,Completed,0.0,Automated migration,0,3118.91,2023-01-12,Shock Absorber,ORD930437
Retail Client,0.0,Electrical system,Bank Transfer,Completed,0.0,Automated migration,0,10808.33,2023-01-12,Starter Motor,ORD930485
Wholesale Client,0.0,Electrical system,Bank Transfer,Completed,0.0,Automated migration,0,10207.33,2023-01-12,Starter Motor,ORD930486
Retail Client,0.0,Electrical system,GCash,Completed,0.0,Automated migration,0,9109.6,2023-01-12,Starter Motor,ORD930487
Retail Client,0.0,Drivetrain,Bank Transfer,Completed,0.0,Automated migration,0,2756.29,2023-01-12,Wheel Bearing,ORD930519
Wholesale Client,14.67,Engine system,GCash,Completed,274.06,Automated migration,1,274.06,2023-01-13,Air Filter,ORD930024
Retail Client,41.03,Engine system,Maya,Completed,608.04,Automated migration,2,304.02,2023-01-13,Air Filter,ORD930025
Retail Client,21.69,Engine system,Bank Transfer,Completed,283.98,Automated migration,1,283.98,2023-01-13,Air Filter,ORD930026
Wholesale Client,0.0,Electrical system,Bank Transfer,Completed,0.0,Automated migration,0,10375.01,2023-01-13,Alternator,ORD930075
Wholesale Client,0.0,Braking system,GCash,Completed,0.0,Automated migration,0,1080.25,2023-01-13,Brake Pads,ORD930141
Wholesale Client,0.0,Braking system,Check,Completed,0.0,Automated migration,0,1246.83,2023-01-13,Brake Pads,ORD930142
Retail Client,85.85,Braking system,Cash,Completed,1096.74,Automated migration,1,1096.74,2023-01-13,Brake Pads,ORD930143
Wholesale Client,81.12,Braking system,Cash,Completed,1526.51,Automated migration,1,1526.51,2023-01-13,Brake Pads,ORD930144
Retail Client,1101.32,Exhaust system,GCash,Completed,18141.3,Automated migration,1,18141.3,2023-01-13,Catalytic Converter,ORD930213
Retail Client,0.0,Electrical system,Cash,Completed,0.0,Automated migration,0,19370.55,2023-01-13,ECU Module,ORD930246
Wholesale Client,0.0,Electrical system,Check,Completed,0.0,Automated migration,0,21941.55,2023-01-13,ECU Module,ORD930247
