date,order_number,product_name,category,customer_type,quantity,unit_price,other_expenses,total_amount,payment_method
2020-05-29,ORD1049,Clutch Kit,Transmission,Wholesale,16,226.29,0.0,3620.64,PayPal
2020-05-30,ORD1050,Water Pump,Cooling,Retail,3,47.58,51.03,193.77,PayPal
2020-05-30,ORD1051,Control Arm,Suspension,Retail,4,100.71,0.0,402.84,Credit card
2020-05-30,ORD1052,Battery,Electrical,Retail,1,163.42,0.0,163.42,Cash
2020-05-31,ORD1053,Engine Oil,Engine,Wholesale,19,59.37,0.0,1128.03,Cash
2020-05-31,ORD1054,Brake Pads,Braking system,Retail,2,71.1,31.45,173.65,Cash
2020-05-31,ORD1055,Clutch Kit,Transmission,Retail,1,351.59,20.38,371.97,Credit card
2020-06-01,ORD1056,Control Arm,Suspension,Retail,3,119.87,0.0,359.61,PayPal
2020-06-02,ORD1057,Water Pump,Cooling,Wholesale,43,76.18,0.0,3275.74,PayPal
2020-06-02,ORD1058,Air Filter,Engine,Wholesale,33,20.25,0.0,668.25,PayPal
2020-06-02,ORD1059,Shock Absorber,Suspension,Wholesale,19,131.41,45.8,2542.59,Credit card
2020-06-02,ORD1060,Control Arm,Suspension,Retail,3,101.38,62.63,366.77,PayPal
2020-06-03,ORD1061,Radiator,Cooling,Retail,3,96.93,0.0,290.79,Credit card
2020-06-03,ORD1062,Alternator,Electrical,Retail,3,258.22,0.0,774.66,Cash
2020-06-04,ORD1063,Radiator,Cooling,Retail,4,119.93,11.55,491.27,Bank transfer
2020-06-04,ORD1064,Shock Absorber,Suspension,Retail,4,123.23,0.0,492.92,PayPal
2020-06-05,ORD1065,Brake Rotor,Braking system,Corporate,8,66.45,0.0,531.6,Credit card
2020-06-05,ORD1066,Control Arm,Suspension,Retail,5,126.34,10.18,641.88,Bank transfer
2020-06-05,ORD1067,Clutch Kit,Transmission,Retail,1,490.77,0.0,490.77,PayPal
2020-06-06,ORD1068,Fuel Pump,Fuel System,Retail,5,215.06,30.03,1105.33,Credit card
2020-06-06,ORD1069,Control Arm,Suspension,Retail,1,136.34,16.67,153.01,Bank transfer
2020-06-06,ORD1070,Clutch Kit,Transmission,Wholesale,29,305.03,0.0,8845.87,Credit card
2020-06-07,ORD1071,Shock Absorber,Suspension,Corporate,7,119.77,0.0,838.39,Cash
2020-06-08,ORD1072,Fuel Pump,Fuel System,Wholesale,30,186.77,0.0,5603.1,Credit card
2020-06-08,ORD1073,Battery,Electrical,Retail,4,208.35,68.01,901.41,Bank transfer
2020-06-08,ORD1074,Alternator,Electrical,Corporate,17,166.18,0.0,2825.06,Bank transfer
2020-06-09,ORD1075,Fuel Pump,Fuel System,Retail,4,206.13,0.0,824.52,Credit card
2020-06-10,ORD1076,Battery,Electrical,Retail,4,156.52,50.96,677.04,PayPal
2020-06-11,ORD1077,Brake Pads,Braking system,Retail,5,79.08,62.39,457.79,Bank transfer
2020-06-11,ORD1078,Fuel Pump,Fuel System,Retail,2,107.54,0.0,215.08,Credit card
2020-06-11,ORD1079,Brake Rotor,Braking system,Retail,3,43.57,0.0,130.71,Credit card
2020-06-12,ORD1080,Fuel Pump,Fuel System,Retail,4,189.92,9.48,769.16,PayPal
2020-06-13,ORD1081,Battery,Electrical,Retail,4,167.51,19.36,689.4,Bank transfer
2020-06-13,ORD1082,Air Filter,Engine,Retail,3,16.53,0.0,49.59,Bank transfer
2020-06-14,ORD1083,Oil Filter,Engine,Wholesale,25,24.8,0.0,620.0,Cash
2020-06-14,ORD1084,Spark Plugs,Ignition,Corporate,6,14.44,0.0,86.64,Cash
2020-06-14,ORD1085,Oil Filter,Engine,Retail,5,15.18,0.0,75.9,Bank transfer
2020-06-14,ORD1086,Engine Oil,Engine,Retail,4,30.57,22.27,144.55,Bank transfer
2020-06-15,ORD1087,Oil Filter,Engine,Retail,4,13.41,0.0,53.64,Bank transfer
2020-06-15,ORD1088,Clutch Kit,Transmission,Retail,4,208.28,0.0,833.12,Cash
2020-06-15,ORD1089,Brake Pads,Braking system,Retail,4,50.16,56.73,257.37,Credit card
2020-06-16,ORD1090,Battery,Electrical,Retail,5,118.34,67.11,658.81,PayPal
2020-06-16,ORD1091,Radiator,Cooling,Wholesale,25,150.59,0.0,3764.75,Bank transfer
2020-06-17,ORD1092,Control Arm,Suspension,Retail,2,158.05,75.94,392.04,Cash
2020-06-17,ORD1093,Control Arm,Suspension,Retail,2,115.0,0.0,230.0,Bank transfer
2020-06-17,ORD1094,Spark Plugs,Ignition,Retail,3,12.85,0.0,38.55,PayPal
2020-06-17,ORD1095,Alternator,Electrical,Retail,1,211.2,0.0,211.2,Credit card
2020-06-18,ORD1096,Control Arm,Suspension,Wholesale,17,95.29,67.14,1687.07,Bank transfer
2020-06-18,ORD1097,Radiator,Cooling,Retail,1,117.3,0.0,117.3,Cash
2020-06-18,ORD1098,Brake Rotor,Braking system,Corporate,12,86.64,21.76,1061.44,PayPal
2020-06-19,ORD1099,Alternator,Electrical,Retail,1,194.8,0.0,194.8,Credit card
2020-06-19,ORD1100,Spark Plugs,Ignition,Retail,3,10.81,0.0,32.43,Bank transfer
2020-06-19,ORD1101,Clutch Kit,Transmission,Retail,1,282.7,0.0,282.7,PayPal
2020-06-20,ORD1102,Air Filter,Engine,Retail,1,25.61,71.16,96.77,Credit card
2020-06-21,ORD1103,Fuel Pump,Fuel System,Wholesale,47,203.2,0.0,9550.4,Credit card
2020-06-22,ORD1104,Fuel Pump,Fuel System,Wholesale,40,112.3,0.0,4492.0,PayPal
2020-06-22,ORD1105,Oil Filter,Engine,Retail,2,11.38,53.07,75.83,PayPal
2020-06-22,ORD1106,Air Filter,Engine,Wholesale,15,16.19,0.0,242.85,Bank transfer
2020-06-22,ORD1107,Radiator,Cooling,Retail,3,121.41,0.0,364.23,PayPal
2020-06-23,ORD1108,Air Filter,Engine,Retail,3,18.59,25.11,80.88,PayPal
2020-06-23,ORD1109,Water Pump,Cooling,Corporate,18,92.2,24.47,1684.07,Cash
2020-06-23,ORD1110,Control Arm,Suspension,Wholesale,18,164.85,24.49,2991.79,Bank transfer
2020-06-23,ORD1111,Control Arm,Suspension,Wholesale,13,165.33,0.0,2149.29,Credit card
2020-06-24,ORD1112,Oil Filter,Engine,Retail,2,11.45,0.0,22.9,PayPal
2020-06-24,ORD1113,Water Pump,Cooling,Retail,3,61.81,0.0,185.43,Credit card
2020-06-24,ORD1114,Oil Filter,Engine,Retail,3,16.39,0.0,49.17,PayPal
2020-06-25,ORD1115,Spark Plugs,Ignition,Retail,5,10.62,0.0,53.1,Credit card
2020-06-25,ORD1116,Brake Rotor,Braking system,Retail,3,90.77,0.0,272.31,Cash
2020-06-25,ORD1117,Alternator,Electrical,Retail,4,312.8,0.0,1251.2,Credit card
2020-06-26,ORD1118,Control Arm,Suspension,Retail,3,83.07,36.03,285.24,PayPal
2020-06-26,ORD1119,Engine Oil,Engine,Wholesale,22,38.75,77.85,930.35,Credit card
2020-06-27,ORD1120,Clutch Kit,Transmission,Retail,3,281.92,0.0,845.76,PayPal
2020-06-27,ORD1121,Control Arm,Suspension,Retail,5,174.19,0.0,870.95,Bank transfer
2020-06-28,ORD1122,Air Filter,Engine,Wholesale,23,29.87,34.63,721.64,Cash
2020-06-28,ORD1123,Brake Pads,Braking system,Retail,4,76.24,0.0,304.96,Credit card
2020-06-28,ORD1124,Clutch Kit,Transmission,Wholesale,42,357.75,30.47,15055.97,Credit card
2020-06-28,ORD1125,Battery,Electrical,Retail,5,179.17,0.0,895.85,PayPal
2020-06-29,ORD1126,Radiator,Cooling,Retail,2,156.49,19.32,332.3,Credit card
2020-06-29,ORD1127,Radiator,Cooling,Retail,4,175.53,30.18,732.3,Bank transfer
2020-06-30,ORD1128,Fuel Pump,Fuel System,Retail,2,148.74,0.0,297.48,Cash
2020-06-30,ORD1129,Fuel Pump,Fuel System,Retail,1,97.32,0.0,97.32,Bank transfer
2020-06-30,ORD1130,Clutch Kit,Transmission,Retail,4,307.88,0.0,1231.52,PayPal
2020-07-01,ORD1131,Battery,Electrical,Retail,5,224.85,20.17,1144.42,Cash
2020-07-01,ORD1132,Fuel Pump,Fuel System,Corporate,14,118.89,0.0,1664.46,Cash
2020-07-01,ORD1133,Oil Filter,Engine,Corporate,11,18.03,0.0,198.33,PayPal
2020-07-01,ORD1134,Engine Oil,Engine,Wholesale,28,31.47,0.0,881.16,Credit card
2020-07-02,ORD1135,Radiator,Cooling,Retail,5,126.74,19.69,653.39,Credit card
2020-07-02,ORD1136,Fuel Pump,Fuel System,Retail,2,204.94,0.0,409.88,Cash
2020-07-02,ORD1137,Air Filter,Engine,Retail,2,20.9,77.87,119.67,PayPal
2020-07-03,ORD1138,Clutch Kit,Transmission,Wholesale,48,283.12,46.34,13636.1,Credit card
2020-07-03,ORD1139,Water Pump,Cooling,Retail,2,84.23,68.28,236.74,PayPal
2020-07-03,ORD1140,Oil Filter,Engine,Retail,3,23.88,0.0,71.64,Credit card
2020-07-03,ORD1141,Clutch Kit,Transmission,Retail,1,317.25,70.1,387.35,Cash
2020-07-04,ORD1142,Control Arm,Suspension,Retail,3,121.86,35.62,401.2,PayPal
2020-07-04,ORD1143,Oil Filter,Engine,Corporate,10,22.79,0.0,227.9,Credit card
2020-07-04,ORD1144,Radiator,Cooling,Retail,4,105.61,31.62,454.06,PayPal
2020-07-04,ORD1145,Clutch Kit,Transmission,Corporate,11,399.35,25.32,4418.17,Credit card
2020-07-05,ORD1146,Alternator,Electrical,Retail,4,265.63,0.0,1062.52,Credit card
2020-07-06,ORD1147,Spark Plugs,Ignition,Wholesale,12,14.25,60.38,231.38,Bank transfer
2020-07-07,ORD1148,Brake Pads,Braking system,Corporate,16,48.0,67.28,835.28,PayPal
2020-07-07,ORD1149,Brake Rotor,Braking system,Retail,5,42.99,79.25,294.2,Credit card
2020-07-07,ORD1150,Shock Absorber,Suspension,Retail,2,62.97,0.0,125.94,Credit card
2020-07-07,ORD1151,Fuel Pump,Fuel System,Retail,4,96.58,0.0,386.32,PayPal
2020-07-08,ORD1152,Clutch Kit,Transmission,Corporate,6,282.44,0.0,1694.64,PayPal
2020-07-08,ORD1153,Control Arm,Suspension,Retail,5,166.99,0.0,834.95,Bank transfer
2020-07-09,ORD1154,Brake Rotor,Braking system,Retail,3,55.07,72.42,237.63,Bank transfer
2020-07-09,ORD1155,Spark Plugs,Ignition,Retail,2,9.05,0.0,18.1,Credit card
2020-07-09,ORD1156,Shock Absorber,Suspension,Retail,3,107.3,30.74,352.64,Cash
2020-07-10,ORD1157,Brake Rotor,Braking system,Retail,4,43.12,39.68,212.16,Cash
2020-07-10,ORD1158,Alternator,Electrical,Retail,1,286.61,0.0,286.61,Bank transfer
2020-07-10,ORD1159,Fuel Pump,Fuel System,Corporate,19,187.94,0.0,3570.86,Cash
2020-07-11,ORD1160,Engine Oil,Engine,Corporate,15,38.08,0.0,571.2,PayPal
2020-07-11,ORD1161,Air Filter,Engine,Wholesale,15,28.13,79.53,501.48,Credit card
2020-07-11,ORD1162,Oil Filter,Engine,Corporate,6,20.22,30.22,151.54,Cash
2020-07-11,ORD1163,Brake Pads,Braking system,Retail,2,23.57,0.0,47.14,Credit card
2020-07-12,ORD1164,Air Filter,Engine,Wholesale,41,20.61,37.17,882.18,Bank transfer
2020-07-12,ORD1165,Air Filter,Engine,Retail,2,33.16,0.0,66.32,Bank transfer
2020-07-12,ORD1166,Brake Pads,Braking system,Retail,5,22.85,0.0,114.25,Cash
2020-07-12,ORD1167,Radiator,Cooling,Wholesale,26,181.8,0.0,4726.8,PayPal
2020-07-13,ORD1168,Fuel Pump,Fuel System,Retail,4,191.69,45.68,812.44,Bank transfer
2020-07-14,ORD1169,Engine Oil,Engine,Retail,3,40.48,35.36,156.8,Cash
2020-07-14,ORD1170,Battery,Electrical,Wholesale,40,127.89,0.0,5115.6,Credit card
2020-07-14,ORD1171,Brake Rotor,Braking system,Retail,4,93.32,0.0,373.28,Credit card
2020-07-14,ORD1172,Control Arm,Suspension,Retail,5,106.51,0.0,532.55,Bank transfer
2020-07-15,ORD1173,Brake Pads,Braking system,Retail,3,34.99,0.0,104.97,Cash
2020-07-15,ORD1174,Alternator,Electrical,Wholesale,19,302.18,55.98,5797.4,Cash
2020-07-15,ORD1175,Brake Rotor,Braking system,Wholesale,26,84.29,45.18,2236.72,Credit card
2020-07-15,ORD1176,Brake Rotor,Braking system,Retail,5,59.0,0.0,295.0,PayPal
2020-07-16,ORD1177,Battery,Electrical,Corporate,11,218.22,0.0,2400.42,Bank transfer
2020-07-16,ORD1178,Air Filter,Engine,Retail,2,24.07,0.0,48.14,Cash
2020-07-17,ORD1179,Fuel Pump,Fuel System,Retail,4,87.17,8.6,357.28,Credit card
2020-07-17,ORD1180,Shock Absorber,Suspension,Retail,2,93.47,13.34,200.28,Bank transfer
2020-07-17,ORD1181,Clutch Kit,Transmission,Retail,1,381.25,60.43,441.68,PayPal
2020-07-17,ORD1182,Oil Filter,Engine,Retail,1,15.12,28.01,43.13,PayPal
2020-07-18,ORD1183,Control Arm,Suspension,Retail,1,129.39,0.0,129.39,Credit card
2020-07-19,ORD1184,Oil Filter,Engine,Wholesale,21,11.42,0.0,239.82,Credit card
2020-07-19,ORD1185,Water Pump,Cooling,Retail,5,84.36,35.42,457.22,PayPal
2020-07-19,ORD1186,Oil Filter,Engine,Retail,4,18.88,12.16,87.68,Bank transfer
2020-07-20,ORD1187,Brake Pads,Braking system,Retail,3,34.71,0.0,104.13,PayPal
2020-07-20,ORD1188,Oil Filter,Engine,Corporate,15,18.22,12.08,285.38,PayPal
2020-07-20,ORD1189,Water Pump,Cooling,Corporate,15,78.16,77.98,1250.38,Bank transfer
2020-07-21,ORD1190,Air Filter,Engine,Retail,4,17.73,0.0,70.92,PayPal
2020-07-21,ORD1191,Shock Absorber,Suspension,Retail,5,103.91,34.7,554.25,Bank transfer
2020-07-22,ORD1192,Radiator,Cooling,Retail,3,187.2,0.0,561.6,PayPal
2020-07-22,ORD1193,Control Arm,Suspension,Retail,4,171.25,79.67,764.67,Cash
2020-07-22,ORD1194,Spark Plugs,Ignition,Retail,3,8.84,0.0,26.52,Credit card
2020-07-22,ORD1195,Brake Rotor,Braking system,Retail,5,45.5,78.81,306.31,Bank transfer
2020-07-23,ORD1196,Spark Plugs,Ignition,Wholesale,46,10.84,0.0,498.64,Credit card
2020-07-23,ORD1197,Clutch Kit,Transmission,Retail,2,372.13,78.37,822.63,PayPal
2020-07-24,ORD1198,Water Pump,Cooling,Retail,1,119.57,0.0,119.57,Cash
2020-07-24,ORD1199,Water Pump,Cooling,Wholesale,17,105.07,0.0,1786.19,Cash
2020-07-24,ORD1200,Brake Rotor,Braking system,Retail,4,62.1,34.14,282.54,Credit card
2020-07-25,ORD1201,Water Pump,Cooling,Retail,4,82.9,34.27,365.87,Credit card
2020-07-25,ORD1202,Brake Rotor,Braking system,Retail,3,72.69,0.0,218.07,Credit card
2020-07-25,ORD1203,Fuel Pump,Fuel System,Retail,3,87.91,0.0,263.73,Bank transfer
2020-07-26,ORD1204,Battery,Electrical,Retail,2,227.75,0.0,455.5,Cash
2020-07-27,ORD1205,Air Filter,Engine,Retail,1,31.75,0.0,31.75,Bank transfer
2020-07-27,ORD1206,Water Pump,Cooling,Retail,5,60.23,0.0,301.15,Cash
2020-07-28,ORD1207,Brake Pads,Braking system,Retail,2,50.66,15.63,116.95,PayPal
2020-07-28,ORD1208,Water Pump,Cooling,Wholesale,10,119.72,0.0,1197.2,Credit card
2020-07-28,ORD1209,Brake Rotor,Braking system,Wholesale,47,63.59,59.26,3047.99,Bank transfer
2020-07-28,ORD1210,Battery,Electrical,Retail,3,229.32,59.83,747.79,Bank transfer
2020-07-29,ORD1211,Alternator,Electrical,Retail,1,256.99,47.1,304.09,Cash
2020-07-29,ORD1212,Brake Rotor,Braking system,Retail,4,43.93,0.0,175.72,PayPal
2020-07-30,ORD1213,Brake Rotor,Braking system,Retail,5,60.31,30.73,332.28,PayPal
2020-07-30,ORD1214,Water Pump,Cooling,Retail,2,91.1,66.89,249.09,Cash
2020-07-30,ORD1215,Shock Absorber,Suspension,Retail,2,93.48,0.0,186.96,PayPal
2020-07-31,ORD1216,Water Pump,Cooling,Retail,5,68.22,0.0,341.1,Cash
2020-07-31,ORD1217,Clutch Kit,Transmission,Retail,5,235.52,75.48,1253.08,Credit card
2020-08-01,ORD1218,Fuel Pump,Fuel System,Wholesale,28,217.15,0.0,6080.2,Credit card
2020-08-01,ORD1219,Control Arm,Suspension,Retail,1,131.16,0.0,131.16,PayPal
2020-08-01,ORD1220,Engine Oil,Engine,Retail,3,51.88,79.32,234.96,Credit card
2020-08-01,ORD1221,Spark Plugs,Ignition,Wholesale,20,13.52,0.0,270.4,PayPal
2020-08-02,ORD1222,Water Pump,Cooling,Retail,1,80.87,0.0,80.87,Cash
2020-08-03,ORD1223,Brake Pads,Braking system,Retail,2,31.3,0.0,62.6,Cash
2020-08-03,ORD1224,Brake Rotor,Braking system,Retail,4,81.67,11.98,338.66,PayPal
2020-08-04,ORD1225,Radiator,Cooling,Retail,4,81.57,0.0,326.28,Cash
2020-08-04,ORD1226,Battery,Electrical,Wholesale,37,148.54,72.67,5568.65,Credit card
2020-08-04,ORD1227,Brake Rotor,Braking system,Retail,3,51.46,0.0,154.38,PayPal
2020-08-05,ORD1228,Oil Filter,Engine,Corporate,10,20.33,0.0,203.3,Bank transfer
2020-08-05,ORD1229,Radiator,Cooling,Retail,1,153.36,0.0,153.36,Cash
2020-08-05,ORD1230,Engine Oil,Engine,Retail,1,36.44,0.0,36.44,Cash
2020-08-06,ORD1231,Oil Filter,Engine,Wholesale,40,13.65,0.0,546.0,Cash
2020-08-07,ORD1232,Air Filter,Engine,Retail,3,21.53,0.0,64.59,Bank transfer
2020-08-07,ORD1233,Air Filter,Engine,Corporate,7,17.67,0.0,123.69,Cash
2020-08-07,ORD1234,Control Arm,Suspension,Retail,3,150.0,0.0,450.0,Bank transfer
2020-08-07,ORD1235,Engine Oil,Engine,Retail,4,37.48,0.0,149.92,Cash
2020-08-08,ORD1236,Engine Oil,Engine,Wholesale,16,30.49,41.37,529.21,Bank transfer
2020-08-09,ORD1237,Engine Oil,Engine,Wholesale,48,34.83,42.66,1714.5,Credit card
2020-08-09,ORD1238,Brake Pads,Braking system,Retail,1,44.19,0.0,44.19,PayPal
2020-08-09,ORD1239,Control Arm,Suspension,Retail,1,138.99,0.0,138.99,Bank transfer
2020-08-09,ORD1240,Brake Rotor,Braking system,Wholesale,11,53.87,0.0,592.57,Credit card
2020-08-10,ORD1241,Alternator,Electrical,Wholesale,32,242.04,0.0,7745.28,Bank transfer
2020-08-10,ORD1242,Radiator,Cooling,Retail,3,129.26,0.0,387.78,PayPal
2020-08-11,ORD1243,Water Pump,Cooling,Retail,4,42.86,0.0,171.44,Bank transfer
2020-08-11,ORD1244,Water Pump,Cooling,Corporate,18,45.01,0.0,810.18,Credit card
2020-08-11,ORD1245,Shock Absorber,Suspension,Retail,1,77.77,0.0,77.77,Cash
2020-08-11,ORD1246,Shock Absorber,Suspension,Wholesale,36,64.61,0.0,2325.96,Cash
2020-08-12,ORD1247,Alternator,Electrical,Wholesale,25,182.55,0.0,4563.75,Credit card
2020-08-12,ORD1248,Alternator,Electrical,Retail,5,271.38,0.0,1356.9,PayPal
2020-08-13,ORD1249,Brake Rotor,Braking system,Retail,3,40.79,0.0,122.37,Cash
2020-08-13,ORD1250,Shock Absorber,Suspension,Retail,1,74.01,0.0,74.01,Bank transfer
2020-08-13,ORD1251,Brake Pads,Braking system,Retail,2,51.33,66.94,169.6,PayPal
2020-08-13,ORD1252,Water Pump,Cooling,Retail,3,101.81,0.0,305.43,PayPal
2020-08-14,ORD1253,Engine Oil,Engine,Retail,5,49.01,0.0,245.05,Cash
2020-08-14,ORD1254,Brake Rotor,Braking system,Wholesale,22,53.65,33.04,1213.34,PayPal
2020-08-14,ORD1255,Battery,Electrical,Wholesale,11,217.34,0.0,2390.74,Credit card
2020-08-14,ORD1256,Control Arm,Suspension,Retail,5,137.23,24.37,710.52,Credit card
2020-08-15,ORD1257,Shock Absorber,Suspension,Retail,4,99.64,0.0,398.56,Bank transfer
2020-08-15,ORD1258,Engine Oil,Engine,Retail,3,56.49,28.47,197.94,PayPal
2020-08-15,ORD1259,Alternator,Electrical,Retail,3,161.34,53.38,537.4,PayPal
2020-08-15,ORD1260,Fuel Pump,Fuel System,Retail,4,94.53,54.23,432.35,Cash
2020-08-16,ORD1261,Battery,Electrical,Wholesale,21,162.05,0.0,3403.05,PayPal
2020-08-16,ORD1262,Engine Oil,Engine,Retail,5,55.72,74.75,353.35,Cash
2020-08-16,ORD1263,Water Pump,Cooling,Retail,1,50.36,0.0,50.36,Cash
2020-08-16,ORD1264,Water Pump,Cooling,Wholesale,27,104.89,31.87,2863.9,Cash
2020-08-17,ORD1265,Engine Oil,Engine,Retail,1,33.53,61.26,94.79,Credit card
2020-08-17,ORD1266,Brake Rotor,Braking system,Wholesale,10,77.21,0.0,772.1,Cash
2020-08-17,ORD1267,Fuel Pump,Fuel System,Corporate,7,147.97,0.0,1035.79,Cash
2020-08-18,ORD1268,Oil Filter,Engine,Retail,4,14.93,28.27,87.99,Bank transfer
2020-08-18,ORD1269,Fuel Pump,Fuel System,Retail,2,84.44,0.0,168.88,PayPal
2020-08-19,ORD1270,Water Pump,Cooling,Retail,2,102.74,59.72,265.2,Credit card
2020-08-19,ORD1271,Alternator,Electrical,Retail,2,299.72,65.89,665.33,Cash
2020-08-19,ORD1272,Brake Pads,Braking system,Retail,4,21.79,0.0,87.16,Bank transfer
2020-08-19,ORD1273,Control Arm,Suspension,Wholesale,28,152.9,0.0,4281.2,PayPal
2020-08-20,ORD1274,Brake Rotor,Braking system,Retail,3,93.13,0.0,279.39,PayPal
2020-08-20,ORD1275,Spark Plugs,Ignition,Retail,4,12.82,0.0,51.28,PayPal
2020-08-20,ORD1276,Water Pump,Cooling,Retail,5,78.92,0.0,394.6,Credit card
2020-08-21,ORD1277,Fuel Pump,Fuel System,Retail,2,123.7,43.27,290.67,Cash
2020-08-21,ORD1278,Oil Filter,Engine,Retail,5,24.8,20.43,144.43,Bank transfer
2020-08-21,ORD1279,Air Filter,Engine,Retail,4,27.8,0.0,111.2,PayPal
2020-08-22,ORD1280,Battery,Electrical,Retail,1,144.3,0.0,144.3,Cash
2020-08-22,ORD1281,Clutch Kit,Transmission,Wholesale,13,407.17,69.4,5362.61,Bank transfer
2020-08-22,ORD1282,Water Pump,Cooling,Retail,5,88.93,36.21,480.86,Cash
2020-08-22,ORD1283,Brake Rotor,Braking system,Wholesale,21,93.17,39.6,1996.17,Credit card
2020-08-23,ORD1284,Alternator,Electrical,Retail,4,336.01,35.6,1379.64,Cash
2020-08-23,ORD1285,Fuel Pump,Fuel System,Wholesale,10,117.75,33.83,1211.33,Credit card
2020-08-24,ORD1286,Control Arm,Suspension,Retail,1,76.35,0.0,76.35,PayPal
