reportDate,productName,category,quantity,unitPrice,otherExpenses,totalAmount,customerName,paymentMethod,status,orderNumber,notes
2023-08-09,Turbocharger,Engine system,1,24541.55,231.43,24772.98,Retail Client,GCash,Completed,ORDT100032,Synthetic test data
2023-05-07,Turbocharger,Engine system,3,16029.71,1147.91,49237.04,Retail Client,Bank Transfer,Completed,ORDT100033,Synthetic test data
2023-11-17,Turbocharger,Engine system,1,16813.97,733.93,17547.9,Wholesale Client,Bank Transfer,Completed,ORDT100034,Synthetic test data
2023-03-04,Turbocharger,Engine system,1,8101.94,1270.62,9372.56,Wholesale Client,Check,Completed,ORDT100035,Synthetic test data
2023-08-03,Turbocharger,Engine system,4,16353.61,287.79,65702.23,Wholesale Client,Check,Completed,ORDT100036,Synthetic test data
2023-11-05,Turbocharger,Engine system,2,6846.34,1906.28,15598.96,Retail Client,Maya,Completed,ORDT100037,Synthetic test data
2023-01-18,Turbocharger,Engine system,4,17133.31,635.85,69169.09,Retail Client,GCash,Completed,ORDT100038,Synthetic test data
2023-08-26,Turbocharger,Engine system,5,20975.46,304.43,105181.73,Wholesale Client,Check,Pending,ORDT100039,Synthetic test data
2023-10-03,Turbocharger,Engine system,1,21928.17,1966.15,23894.32,Retail Client,GCash,Completed,ORDT100040,Synthetic test data
2023-07-22,Turbocharger,Engine system,1,8118.1,784.78,8902.88,Retail Client,Check,Completed,ORDT100041,Synthetic test data
2023-07-08,Turbocharger,Engine system,4,16951.66,1688.57,69495.21,Retail Client,Maya,Completed,ORDT100042,Synthetic test data
2023-05-18,Turbocharger,Engine system,3,10400.14,1685.82,32886.24,Retail Client,Check,Completed,ORDT100043,Synthetic test data
2023-10-18,Turbocharger,Engine system,1,15886.54,1001.57,16888.11,Retail Client,Check,Completed,ORDT100044,Synthetic test data
2023-07-08,Turbocharger,Engine system,5,22592.2,490.89,113451.89,Retail Client,Bank Transfer,Completed,ORDT100045,Synthetic test data
2023-02-21,Turbocharger,Engine system,3,16356.74,90.71,49160.93,Retail Client,Bank Transfer,Completed,ORDT100046,Synthetic test data
2023-09-02,Turbocharger,Engine system,1,13282.38,219.8,13502.18,Wholesale Client,GCash,Pending,ORDT100047,Synthetic test data
2023-09-03,Turbocharger,Engine system,4,20214.33,556.27,81413.59,Retail Client,Cash,Completed,ORDT100048,Synthetic test data
2023-12-17,Turbocharger,Engine system,5,18819.31,1615.82,95712.37,Retail Client,Check,Pending,ORDT100049,Synthetic test data
2023-05-15,Turbocharger,Engine system,1,9045.44,111.64,9157.08,Retail Client,Maya,Completed,ORDT100050,Synthetic test data
2023-03-28,Turbocharger,Engine system,2,8118.6,1967.97,18205.17,Retail Client,Maya,Completed,ORDT100051,Synthetic test data
2023-10-16,Turbocharger,Engine system,4,11119.31,950.65,45427.89,Wholesale Client,Cash,Completed,ORDT100052,Synthetic test data
2023-12-01,Turbocharger,Engine system,2,19434.86,1758.66,40628.38,Wholesale Client,Cash,Completed,ORDT100053,Synthetic test data
2023-11-18,Turbocharger,Engine system,3,19185.16,959.31,58514.79,Wholesale Client,Maya,Completed,ORDT100054,Synthetic test data
2023-09-14,Turbocharger,Engine system,3,23042.31,836.05,69962.98,Wholesale Client,Cash,Completed,ORDT100055,Synthetic test data
2023-01-30,Turbocharger,Engine system,1,11175.06,1029.47,12204.53,Retail Client,Bank Transfer,Completed,ORDT100056,Synthetic test data
2023-01-28,Turbocharger,Engine system,3,17541.27,149.35,52773.16,Retail Client,Maya,Completed,ORDT100057,Synthetic test data
2023-04-24,Turbocharger,Engine system,1,17060.01,853.23,17913.24,Wholesale Client,Bank Transfer,Completed,ORDT100058,Synthetic test data
2023-04-04,Turbocharger,Engine system,3,11359.32,527.81,34605.77,Wholesale Client,Bank Transfer,Completed,ORDT100059,Synthetic test data
2023-12-21,Turbocharger,Engine system,1,12607.48,714.08,13321.56,Retail Client,Bank Transfer,Pending,ORDT100060,Synthetic test data
2023-10-06,Turbocharger,Engine system,3,19894.02,1477.44,61159.5,Wholesale Client,Maya,Pending,ORDT100061,Synthetic test data
2023-05-12,Turbocharger,Engine system,1,15901.43,1339.26,17240.69,Wholesale Client,Bank Transfer,Completed,ORDT100062,Synthetic test data
2023-02-02,Turbocharger,Engine system,3,18545.15,1075.75,56711.2,Wholesale Client,Cash,Completed,ORDT100063,Synthetic test data
2023-05-29,Turbocharger,Engine system,2,7964.98,28.97,15958.93,Retail Client,Bank Transfer,Completed,ORDT100064,Synthetic test data
2023-04-01,Turbocharger,Engine system,1,18644.78,1615.99,20260.77,Retail Client,Check,Completed,ORDT100065,Synthetic test data
2023-03-25,Turbocharger,Engine system,4,9193.42,859.4,37633.08,Retail Client,Cash,Completed,ORDT100066,Synthetic test data
2023-04-19,Turbocharger,Engine system,2,9708.14,1156.55,20572.83,Retail Client,Cash,Completed,ORDT100067,Synthetic test data
2023-04-28,Turbocharger,Engine system,5,16447.95,1565.01,83804.76,Wholesale Client,GCash,Completed,ORDT100068,Synthetic test data
2023-05-07,Turbocharger,Engine system,5,19243.14,197.74,96413.44,Wholesale Client,Cash,Completed,ORDT100069,Synthetic test data
2023-04-18,Turbocharger,Engine system,1,22757.6,483.97,23241.57,Wholesale Client,Check,Cancelled,ORDT100070,Synthetic test data
2023-12-12,Turbocharger,Engine system,5,17262.36,1437.73,87749.53,Retail Client,Check,Completed,ORDT100071,Synthetic test data
2023-04-26,Turbocharger,Engine system,2,21882.86,1214.18,44979.9,Wholesale Client,Maya,Completed,ORDT100072,Synthetic test data
2023-10-25,Turbocharger,Engine system,2,8723.7,1715.31,19162.71,Retail Client,Bank Transfer,Completed,ORDT100073,Synthetic test data
2023-04-23,Turbocharger,Engine system,3,11265.64,45.44,33842.36,Wholesale Client,Bank Transfer,Completed,ORDT100074,Synthetic test data
2023-01-07,Turbocharger,Engine system,5,10218.31,1195.81,52287.36,Retail Client,Check,Completed,ORDT100075,Synthetic test data
2023-01-18,Turbocharger,Engine system,1,5641.77,1921.73,7563.5,Wholesale Client,Bank Transfer,Completed,ORDT100076,Synthetic test data
2023-05-22,Turbocharger,Engine system,4,13289.89,34.07,53193.63,Retail Client,Maya,Completed,ORDT100077,Synthetic test data
2023-03-31,Turbocharger,Engine system,3,7526.84,917.41,23497.93,Wholesale Client,Maya,Completed,ORDT100078,Synthetic test data
2023-02-18,Turbocharger,Engine system,2,22515.11,618.38,45648.6,Wholesale Client,Bank Transfer,Completed,ORDT100079,Synthetic test data
2023-05-31,Turbocharger,Engine system,1,8051.21,389.35,8440.56,Wholesale Client,Cash,Completed,ORDT100080,Synthetic test data
2023-12-15,Turbocharger,Engine system,3,23786.03,1785.53,73143.62,Wholesale Client,Maya,Pending,ORDT100081,Synthetic test data
2023-07-24,Turbocharger,Engine system,5,16967.33,1135.51,85972.16,Retail Client,Check,Completed,ORDT100082,Synthetic test data
2023-11-03,Turbocharger,Engine system,3,6105.54,1681.22,19997.84,Retail Client,GCash,Completed,ORDT100083,Synthetic test data
2023-06-27,Turbocharger,Engine system,1,18037.27,125.45,18162.72,Retail Client,Bank Transfer,Completed,ORDT100084,Synthetic test data
2023-12-01,Turbocharger,Engine system,3,10267.56,1230.08,32032.76,Wholesale Client,Bank Transfer,Completed,ORDT100085,Synthetic test data
2023-11-11,Turbocharger,Engine system,2,10240.58,453.95,20935.11,Retail Client,Cash,Completed,ORDT100086,Synthetic test data
2023-06-12,Turbocharger,Engine system,2,16818.58,495.01,34132.17,Retail Client,Check,Completed,ORDT100087,Synthetic test data
2023-03-01,Turbocharger,Engine system,4,24482.17,1132.93,99061.61,Retail Client,Bank Transfer,Completed,ORDT100088,Synthetic test data
2023-06-30,Turbocharger,Engine system,1,11520.5,1455.66,12976.16,Retail Client,Bank Transfer,Completed,ORDT100089,Synthetic test data
2023-08-21,Turbocharger,Engine system,2,10407.98,939.5,21755.46,Wholesale Client,Cash,Completed,ORDT100090,Synthetic test data
2023-12-13,Turbocharger,Engine system,5,21004.0,841.2,105861.2,Wholesale Client,Maya,Completed,ORDT100091,Synthetic test data
2023-04-05,Turbocharger,Engine system,4,8028.67,686.19,32800.87,Retail Client,GCash,Completed,ORDT100092,Synthetic test data
2023-08-02,Turbocharger,Engine system,3,18127.0,619.69,55000.69,Retail Client,Check,Completed,ORDT100093,Synthetic test data
2023-09-06,Turbocharger,Engine system,4,15705.09,1841.07,64661.43,Wholesale Client,Check,Completed,ORDT100094,Synthetic test data
2023-01-07,Turbocharger,Engine system,3,16315.59,1564.18,50510.95,Wholesale Client,Cash,Completed,ORDT100095,Synthetic test data
2023-02-18,Turbocharger,Engine system,2,5428.06,706.71,11562.83,Retail Client,Maya,Completed,ORDT100096,Synthetic test data
2023-03-27,Turbocharger,Engine system,5,23211.8,464.1,116523.1,Wholesale Client,Cash,Completed,ORDT100097,Synthetic test data
2023-07-21,Turbocharger,Engine system,1,24093.46,1927.68,26021.14,Retail Client,GCash,Pending,ORDT100098,Synthetic test data
2023-03-10,Turbocharger,Engine system,3,22446.88,693.26,68033.9,Wholesale Client,Cash,Completed,ORDT100099,Synthetic test data
2023-08-20,Turbocharger,Engine system,4,14712.86,683.2,59534.64,Retail Client,GCash,Completed,ORDT100100,Synthetic test data
2023-06-22,Turbocharger,Engine system,5,20070.44,1530.63,101882.83,Wholesale Client,Check,Completed,ORDT100101,Synthetic test data
2023-12-02,Turbocharger,Engine system,4,11267.18,774.14,45842.86,Wholesale Client,GCash,Completed,ORDT100102,Synthetic test data
2023-11-18,Turbocharger,Engine system,4,19190.28,204.4,76965.52,Retail Client,Cash,Completed,ORDT100103,Synthetic test data
2023-09-01,Turbocharger,Engine system,3,12758.57,772.99,39048.7,Retail Client,Check,Completed,ORDT100104,Synthetic test data
2023-09-05,Turbocharger,Engine system,4,5937.54,1067.86,24818.02,Retail Client,GCash,Completed,ORDT100105,Synthetic test data
2023-08-27,Turbocharger,Engine system,3,5706.9,1889.07,19009.77,Wholesale Client,GCash,Completed,ORDT100106,Synthetic test data
2023-02-24,Turbocharger,Engine system,2,16853.9,499.8,34207.6,Wholesale Client,Bank Transfer,Completed,ORDT100107,Synthetic test data
2023-03-12,Turbocharger,Engine system,4,10938.53,709.12,44463.24,Wholesale Client,GCash,Completed,ORDT100108,Synthetic test data
2023-04-30,Turbocharger,Engine system,5,5616.88,1078.69,29163.09,Wholesale Client,Bank Transfer,Completed,ORDT100109,Synthetic test data
2023-12-24,Turbocharger,Engine system,5,21010.06,1486.52,106536.82,Wholesale Client,Maya,Completed,ORDT100110,Synthetic test data
2023-10-11,Turbocharger,Engine system,4,24214.6,882.27,97740.67,Wholesale Client,Cash,Pending,ORDT100111,Synthetic test data
2023-02-01,Turbocharger,Engine system,4,12618.78,1160.15,51635.27,Retail Client,Bank Transfer,Completed,ORDT100112,Synthetic test data
2023-03-31,Turbocharger,Engine system,1,14645.17,1449.49,16094.66,Wholesale Client,Cash,Completed,ORDT100113,Synthetic test data
2023-12-19,Turbocharger,Engine system,1,22760.46,1550.44,24310.9,Retail Client,Check,Completed,ORDT100114,Synthetic test data
2023-03-05,Turbocharger,Engine system,4,12265.19,220.61,49281.37,Retail Client,Maya,Completed,ORDT100115,Synthetic test data
2023-07-17,Turbocharger,Engine system,4,8976.28,856.13,36761.25,Wholesale Client,Check,Completed,ORDT100116,Synthetic test data
2023-05-04,Turbocharger,Engine system,5,16291.2,59.14,81515.14,Retail Client,GCash,Completed,ORDT100117,Synthetic test data
2023-08-24,Turbocharger,Engine system,2,12233.88,1275.97,25743.73,Wholesale Client,Check,Cancelled,ORDT100118,Synthetic test data
2023-04-26,Turbocharger,Engine system,2,9058.4,1773.96,19890.76,Retail Client,GCash,Completed,ORDT100119,Synthetic test data
2023-10-08,Turbocharger,Engine system,2,17414.24,1670.76,36499.24,Retail Client,Check,Completed,ORDT100120,Synthetic test data
2023-08-16,Turbocharger,Engine system,4,7618.37,1241.31,31714.79,Retail Client,GCash,Pending,ORDT100121,Synthetic test data
2023-01-21,Turbocharger,Engine system,2,10106.08,525.26,20737.42,Wholesale Client,Maya,Completed,ORDT100122,Synthetic test data
2023-11-30,Turbocharger,Engine system,2,12120.24,472.58,24713.06,Wholesale Client,Cash,Completed,ORDT100123,Synthetic test data
2023-10-29,Turbocharger,Engine system,5,22974.37,1213.47,116085.32,Retail Client,Bank Transfer,Completed,ORDT100124,Synthetic test data
2023-04-04,Turbocharger,Engine system,3,24466.08,1602.34,75000.58,Retail Client,GCash,Completed,ORDT100125,Synthetic test data
2023-03-18,Turbocharger,Engine system,4,8684.1,1075.48,35811.88,Wholesale Client,GCash,Pending,ORDT100126,Synthetic test data
2023-10-17,Turbocharger,Engine system,2,24276.35,1962.97,50515.67,Wholesale Client,Check,Completed,ORDT100127,Synthetic test data
2023-03-16,Turbocharger,Engine system,1,16857.11,1996.72,18853.83,Retail Client,Maya,Completed,ORDT100128,Synthetic test data
2023-12-30,Turbocharger,Engine system,1,24876.53,439.35,25315.88,Wholesale Client,Bank Transfer,Pending,ORDT100129,Synthetic test data
2023-11-23,Turbocharger,Engine system,1,6234.42,997.24,7231.66,Wholesale Client,GCash,Pending,ORDT100130,Synthetic test data
2023-11-22,Turbocharger,Engine system,4,21824.86,1045.58,88345.02,Wholesale Client,Check,Completed,ORDT100131,Synthetic test data
2023-12-13,Turbocharger,Engine system,4,9710.68,1658.1,40500.82,Retail Client,GCash,Completed,ORDT100132,Synthetic test data
2023-03-15,Turbocharger,Engine system,1,12144.4,592.74,12737.14,Retail Client,GCash,Completed,ORDT100133,Synthetic test data
2023-02-19,Turbocharger,Engine system,5,9446.19,836.31,48067.26,Retail Client,Check,Completed,ORDT100134,Synthetic test data
2023-10-07,Turbocharger,Engine system,5,9932.5,753.24,50415.74,Retail Client,Bank Transfer,Pending,ORDT100135,Synthetic test data
2023-02-20,Turbocharger,Engine system,2,5458.85,499.0,11416.7,Wholesale Client,GCash,Pending,ORDT100136,Synthetic test data
2023-04-09,Turbocharger,Engine system,5,20363.22,87.56,101903.66,Retail Client,Check,Completed,ORDT100137,Synthetic test data
2023-07-16,Turbocharger,Engine system,4,23847.65,1770.09,97160.69,Wholesale Client,GCash,Completed,ORDT100138,Synthetic test data
2023-10-28,Turbocharger,Engine system,4,7566.47,1794.56,32060.44,Retail Client,Check,Completed,ORDT100139,Synthetic test data
2023-06-26,Turbocharger,Engine system,4,16829.1,1295.47,68611.87,Retail Client,Check,Completed,ORDT100140,Synthetic test data
2023-11-23,Turbocharger,Engine system,5,13272.61,442.24,66805.29,Wholesale Client,Check,Completed,ORDT100141,Synthetic test data
2023-04-29,Turbocharger,Engine system,2,22299.79,1144.53,45744.11,Wholesale Client,Cash,Completed,ORDT100142,Synthetic test data
2023-08-12,Turbocharger,Engine system,2,21382.49,1263.49,44028.47,Wholesale Client,Cash,Completed,ORDT100143,Synthetic test data
2023-01-14,Turbocharger,Engine system,3,14281.94,49.73,42895.55,Retail Client,Check,Completed,ORDT100144,Synthetic test data
2023-05-12,Turbocharger,Engine system,5,14023.15,373.54,70489.29,Retail Client,Cash,Completed,ORDT100145,Synthetic test data
2023-03-09,Turbocharger,Engine system,5,18132.97,964.06,91628.91,Wholesale Client,Check,Completed,ORDT100146,Synthetic test data
2023-01-12,Turbocharger,Engine system,3,15708.32,103.92,47228.88,Retail Client,GCash,Completed,ORDT100147,Synthetic test data
2023-06-05,Turbocharger,Engine system,5,6474.22,929.89,33300.99,Wholesale Client,Check,Completed,ORDT100148,Synthetic test data
2023-03-21,Turbocharger,Engine system,4,6106.9,1786.55,26214.15,Wholesale Client,Maya,Completed,ORDT100149,Synthetic test data
2023-11-05,Turbocharger,Engine system,2,6320.6,120.29,12761.49,Retail Client,Check,Completed,ORDT100150,Synthetic test data
2023-04-18,Turbocharger,Engine system,3,19770.45,201.26,59512.61,Retail Client,Check,Completed,ORDT100151,Synthetic test data
2023-04-19,Turbocharger,Engine system,1,19121.74,375.96,19497.7,Wholesale Client,Cash,Completed,ORDT100152,Synthetic test data
2023-09-27,Turbocharger,Engine system,3,22617.14,878.89,68730.31,Retail Client,Bank Transfer,Completed,ORDT100153,Synthetic test data
2023-10-21,Turbocharger,Engine system,2,24692.64,1838.69,51223.97,Wholesale Client,GCash,Completed,ORDT100154,Synthetic test data
2023-12-18,Turbocharger,Engine system,1,7721.99,1719.13,9441.12,Retail Client,Cash,Completed,ORDT100155,Synthetic test data
2023-10-24,Turbocharger,Engine system,3,15340.46,860.69,46882.07,Retail Client,Bank Transfer,Completed,ORDT100156,Synthetic test data
2023-04-18,Turbocharger,Engine system,5,19874.29,94.89,99466.34,Retail Client,GCash,Completed,ORDT100157,Synthetic test data
2023-07-08,Turbocharger,Engine system,5,18314.12,217.53,91788.13,Wholesale Client,Check,Completed,ORDT100158,Synthetic test data
2023-04-15,Turbocharger,Engine system,2,15488.22,1202.69,32179.13,Retail Client,Check,Completed,ORDT100159,Synthetic test data
2023-04-22,Turbocharger,Engine system,5,7808.11,290.99,39331.54,Retail Client,GCash,Completed,ORDT100160,Synthetic test data
2023-03-30,Turbocharger,Engine system,2,6010.84,248.38,12270.06,Retail Client,GCash,Completed,ORDT100161,Synthetic test data
2023-01-26,Turbocharger,Engine system,4,15002.23,323.46,60332.38,Retail Client,Cash,Completed,ORDT100162,Synthetic test data
2023-07-24,Turbocharger,Engine system,2,5947.01,1631.64,13525.66,Retail Client,Check,Completed,ORDT100163,Synthetic test data
2023-10-16,Turbocharger,Engine system,4,24724.86,901.82,99801.26,Wholesale Client,Bank Transfer,Completed,ORDT100164,Synthetic test data
2023-07-11,Turbocharger,Engine system,5,5127.26,1830.49,27466.79,Retail Client,GCash,Completed,ORDT100165,Synthetic test data
2023-01-23,Turbocharger,Engine system,4,9658.98,1740.51,40376.43,Wholesale Client,GCash,Completed,ORDT100166,Synthetic test data
2023-06-12,Turbocharger,Engine system,3,6877.19,37.03,20668.6,Retail Client,Check,Completed,ORDT100167,Synthetic test data
2023-11-26,Turbocharger,Engine system,4,12945.58,1946.19,53728.51,Retail Client,Cash,Completed,ORDT100168,Synthetic test data
2023-10-19,Turbocharger,Engine system,5,15626.17,741.42,78872.27,Retail Client,GCash,Completed,ORDT100169,Synthetic test data
2023-12-11,Turbocharger,Engine system,1,8236.73,464.65,8701.38,Wholesale Client,Cash,Completed,ORDT100170,Synthetic test data
2023-07-23,Turbocharger,Engine system,3,23860.47,1852.31,73433.72,Wholesale Client,GCash,Completed,ORDT100171,Synthetic test data
2023-08-07,Turbocharger,Engine system,1,20205.23,576.9,20782.13,Retail Client,Maya,Pending,ORDT100172,Synthetic test data
2023-10-08,Turbocharger,Engine system,5,20666.17,947.79,104278.64,Retail Client,GCash,Completed,ORDT100173,Synthetic test data
2023-08-08,Turbocharger,Engine system,1,11237.98,1628.36,12866.34,Retail Client,Maya,Completed,ORDT100174,Synthetic test data
2023-07-07,Turbocharger,Engine system,3,7137.14,570.5,21981.92,Retail Client,GCash,Completed,ORDT100175,Synthetic test data
2023-01-15,Turbocharger,Engine system,5,11442.36,1948.81,59160.61,Retail Client,Check,Completed,ORDT100176,Synthetic test data
2023-04-27,Turbocharger,Engine system,3,17036.44,364.15,51473.47,Retail Client,Bank Transfer,Completed,ORDT100177,Synthetic test data
2023-05-29,Turbocharger,Engine system,3,11870.43,439.71,36051.0,Wholesale Client,Maya,Pending,ORDT100178,Synthetic test data
2023-08-29,Turbocharger,Engine system,3,24278.85,995.25,73831.8,Wholesale Client,Maya,Completed,ORDT100179,Synthetic test data
2023-09-13,Turbocharger,Engine system,4,13331.63,1905.05,55231.57,Wholesale Client,Maya,Completed,ORDT100180,Synthetic test data
2023-04-17,Turbocharger,Engine system,3,17304.05,168.74,52080.89,Retail Client,GCash,Completed,ORDT100181,Synthetic test data
2023-02-11,Turbocharger,Engine system,1,15574.28,187.86,15762.14,Retail Client,Maya,Completed,ORDT100182,Synthetic test data
2023-07-09,Turbocharger,Engine system,2,21514.07,879.19,43907.33,Retail Client,Bank Transfer,Completed,ORDT100183,Synthetic test data
2023-08-07,Turbocharger,Engine system,2,10983.84,383.43,22351.11,Retail Client,Check,Completed,ORDT100184,Synthetic test data
2023-10-18,Turbocharger,Engine system,5,23090.63,1397.79,116850.94,Wholesale Client,GCash,Pending,ORDT100185,Synthetic test data
2023-03-11,Turbocharger,Engine system,4,21462.9,772.74,86624.34,Wholesale Client,GCash,Completed,ORDT100186,Synthetic test data
2023-10-29,Turbocharger,Engine system,1,24778.2,672.52,25450.72,Retail Client,Check,Completed,ORDT100187,Synthetic test data
2023-01-10,Turbocharger,Engine system,5,21883.34,79.68,109496.38,Retail Client,GCash,Completed,ORDT100188,Synthetic test data
2023-02-24,Turbocharger,Engine system,3,8236.56,1223.63,25933.31,Retail Client,Maya,Completed,ORDT100189,Synthetic test data
2023-01-21,Turbocharger,Engine system,1,6247.0,1679.82,7926.82,Retail Client,Cash,Completed,ORDT100190,Synthetic test data
2023-10-03,Turbocharger,Engine system,4,15517.23,190.29,62259.21,Retail Client,Bank Transfer,Completed,ORDT100191,Synthetic test data
2023-05-02,Turbocharger,Engine system,5,15510.63,1086.84,78639.99,Retail Client,Bank Transfer,Completed,ORDT100192,Synthetic test data
2023-04-23,Turbocharger,Engine system,1,11020.51,901.35,11921.86,Retail Client,GCash,Pending,ORDT100193,Synthetic test data
2023-02-25,Turbocharger,Engine system,2,8717.26,1124.15,18558.67,Retail Client,Maya,Completed,ORDT100194,Synthetic test data
2023-02-19,Turbocharger,Engine system,5,15270.14,1939.97,78290.67,Wholesale Client,Maya,Cancelled,ORDT100195,Synthetic test data
2023-11-19,Turbocharger,Engine system,3,19149.66,1637.31,59086.29,Retail Client,Cash,Completed,ORDT100196,Synthetic test data
2023-02-26,Turbocharger,Engine system,1,14643.19,963.84,15607.03,Retail Client,Maya,Completed,ORDT100197,Synthetic test data
2023-10-26,Turbocharger,Engine system,3,24617.89,1891.14,75744.81,Wholesale Client,Bank Transfer,Completed,ORDT100198,Synthetic test data
2023-02-01,Turbocharger,Engine system,3,8633.32,1630.17,27530.13,Wholesale Client,Check,Completed,ORDT100199,Synthetic test data
2023-04-15,Turbocharger,Engine system,3,15230.94,1217.73,46910.55,Retail Client,Check,Completed,ORDT100200,Synthetic test data
2023-12-03,Turbocharger,Engine system,3,11193.6,761.28,34342.08,Retail Client,GCash,Completed,ORDT100201,Synthetic test data
2023-03-31,Turbocharger,Engine system,2,6931.84,781.77,14645.45,Wholesale Client,Maya,Completed,ORDT100202,Synthetic test data
2023-04-26,Turbocharger,Engine system,1,20427.2,243.8,20671.0,Wholesale Client,Bank Transfer,Completed,ORDT100203,Synthetic test data
2023-07-05,Turbocharger,Engine system,4,21987.4,19.41,87969.01,Retail Client,Bank Transfer,Completed,ORDT100204,Synthetic test data
2023-03-09,Turbocharger,Engine system,3,20837.13,1844.25,64355.64,Retail Client,Bank Transfer,Completed,ORDT100205,Synthetic test data
2023-10-08,Turbocharger,Engine system,1,18444.76,1146.43,19591.19,Wholesale Client,Maya,Completed,ORDT100206,Synthetic test data
2023-01-26,Turbocharger,Engine system,2,8684.74,840.41,18209.89,Retail Client,Cash,Completed,ORDT100207,Synthetic test data
2023-12-30,Turbocharger,Engine system,4,23057.7,839.38,93070.18,Wholesale Client,Bank Transfer,Completed,ORDT100208,Synthetic test data
2023-12-24,Turbocharger,Engine system,3,8572.52,1350.73,27068.29,Retail Client,Maya,Completed,ORDT100209,Synthetic test data
